Freq.	I(R4)/I(R8)
1.12460497396692e+00	(4.32921351105352e+00dB,-3.52818299905030e-01°)
1.12719745617551e+00	(4.32920511922372e+00dB,-3.52016917146622e-01°)
1.12979591467279e+00	(4.32919676586010e+00dB,-3.51217383282639e-01°)
1.13240036323555e+00	(4.32918845078677e+00dB,-3.50419694193972e-01°)
1.13501081567231e+00	(4.32918017382862e+00dB,-3.49623845770473e-01°)
1.13762728582343e+00	(4.32917193481134e+00dB,-3.48829833910927e-01°)
1.14024978756117e+00	(4.32916373356144e+00dB,-3.48037654523059e-01°)
1.14287833478977e+00	(4.32915556990617e+00dB,-3.47247303523496e-01°)
1.14551294144553e+00	(4.32914744367362e+00dB,-3.46458776837758e-01°)
1.14815362149688e+00	(4.32913935469262e+00dB,-3.45672070400244e-01°)
1.15080038894443e+00	(4.32913130279281e+00dB,-3.44887180154215e-01°)
1.15345325782109e+00	(4.32912328780459e+00dB,-3.44104102051778e-01°)
1.15611224219209e+00	(4.32911530955913e+00dB,-3.43322832053867e-01°)
1.15877735615512e+00	(4.32910736788838e+00dB,-3.42543366130232e-01°)
1.16144861384034e+00	(4.32909946262504e+00dB,-3.41765700259418e-01°)
1.16412602941049e+00	(4.32909159360259e+00dB,-3.40989830428758e-01°)
1.16680961706096e+00	(4.32908376065526e+00dB,-3.40215752634336e-01°)
1.16949939101987e+00	(4.32907596361802e+00dB,-3.39443462880995e-01°)
1.17219536554813e+00	(4.32906820232661e+00dB,-3.38672957182312e-01°)
1.17489755493953e+00	(4.32906047661753e+00dB,-3.37904231560577e-01°)
1.17760597352080e+00	(4.32905278632799e+00dB,-3.37137282046784e-01°)
1.18032063565173e+00	(4.32904513129596e+00dB,-3.36372104680604e-01°)
1.18304155572516e+00	(4.32903751136016e+00dB,-3.35608695510388e-01°)
1.18576874816716e+00	(4.32902992636002e+00dB,-3.34847050593134e-01°)
1.18850222743701e+00	(4.32902237613572e+00dB,-3.34087165994477e-01°)
1.19124200802737e+00	(4.32901486052816e+00dB,-3.33329037788673e-01°)
1.19398810446427e+00	(4.32900737937896e+00dB,-3.32572662058587e-01°)
1.19674053130724e+00	(4.32899993253048e+00dB,-3.31818034895665e-01°)
1.19949930314937e+00	(4.32899251982577e+00dB,-3.31065152399936e-01°)
1.20226443461741e+00	(4.32898514110863e+00dB,-3.30314010679980e-01°)
1.20503594037179e+00	(4.32897779622354e+00dB,-3.29564605852920e-01°)
1.20781383510677e+00	(4.32897048501571e+00dB,-3.28816934044404e-01°)
1.21059813355048e+00	(4.32896320733103e+00dB,-3.28070991388595e-01°)
1.21338885046497e+00	(4.32895596301613e+00dB,-3.27326774028138e-01°)
1.21618600064636e+00	(4.32894875191830e+00dB,-3.26584278114168e-01°)
1.21898959892486e+00	(4.32894157388556e+00dB,-3.25843499806277e-01°)
1.22179966016487e+00	(4.32893442876660e+00dB,-3.25104435272503e-01°)
1.22461619926504e+00	(4.32892731641080e+00dB,-3.24367080689317e-01°)
1.22743923115840e+00	(4.32892023666823e+00dB,-3.23631432241598e-01°)
1.23026877081238e+00	(4.32891318938966e+00dB,-3.22897486122637e-01°)
1.23310483322890e+00	(4.32890617442651e+00dB,-3.22165238534098e-01°)
1.23594743344450e+00	(4.32889919163091e+00dB,-3.21434685686013e-01°)
1.23879658653036e+00	(4.32889224085564e+00dB,-3.20705823796768e-01°)
1.24165230759240e+00	(4.32888532195415e+00dB,-3.19978649093084e-01°)
1.24451461177138e+00	(4.32887843478058e+00dB,-3.19253157810010e-01°)
1.24738351424294e+00	(4.32887157918971e+00dB,-3.18529346190888e-01°)
1.25025903021771e+00	(4.32886475503700e+00dB,-3.17807210487353e-01°)
1.25314117494141e+00	(4.32885796217855e+00dB,-3.17086746959319e-01°)
1.25602996369487e+00	(4.32885120047115e+00dB,-3.16367951874948e-01°)
1.25892541179416e+00	(4.32884446977221e+00dB,-3.15650821510652e-01°)
1.26182753459066e+00	(4.32883776993980e+00dB,-3.14935352151072e-01°)
1.26473634747114e+00	(4.32883110083264e+00dB,-3.14221540089046e-01°)
1.26765186585784e+00	(4.32882446231009e+00dB,-3.13509381625621e-01°)
1.27057410520853e+00	(4.32881785423216e+00dB,-3.12798873070019e-01°)
1.27350308101665e+00	(4.32881127645949e+00dB,-3.12090010739628e-01°)
1.27643880881134e+00	(4.32880472885336e+00dB,-3.11382790959980e-01°)
1.27938130415752e+00	(4.32879821127567e+00dB,-3.10677210064743e-01°)
1.28233058265601e+00	(4.32879172358898e+00dB,-3.09973264395703e-01°)
1.28528665994361e+00	(4.32878526565644e+00dB,-3.09270950302752e-01°)
1.28824955169313e+00	(4.32877883734185e+00dB,-3.08570264143862e-01°)
1.29121927361353e+00	(4.32877243850962e+00dB,-3.07871202285078e-01°)
1.29419584144998e+00	(4.32876606902479e+00dB,-3.07173761100506e-01°)
1.29717927098395e+00	(4.32875972875300e+00dB,-3.06477936972288e-01°)
1.30016957803328e+00	(4.32875341756050e+00dB,-3.05783726290583e-01°)
1.30316677845229e+00	(4.32874713531417e+00dB,-3.05091125453579e-01°)
1.30617088813183e+00	(4.32874088188150e+00dB,-3.04400130867447e-01°)
1.30918192299940e+00	(4.32873465713055e+00dB,-3.03710738946330e-01°)
1.31219989901919e+00	(4.32872846093001e+00dB,-3.03022946112352e-01°)
1.31522483219223e+00	(4.32872229314917e+00dB,-3.02336748795569e-01°)
1.31825673855640e+00	(4.32871615365791e+00dB,-3.01652143433977e-01°)
1.32129563418657e+00	(4.32871004232669e+00dB,-3.00969126473493e-01°)
1.32434153519466e+00	(4.32870395902658e+00dB,-3.00287694367930e-01°)
1.32739445772973e+00	(4.32869790362924e+00dB,-2.99607843578991e-01°)
1.33045441797808e+00	(4.32869187600690e+00dB,-2.98929570576253e-01°)
1.33352143216332e+00	(4.32868587603238e+00dB,-2.98252871837142e-01°)
1.33659551654643e+00	(4.32867990357909e+00dB,-2.97577743846942e-01°)
1.33967668742593e+00	(4.32867395852101e+00dB,-2.96904183098750e-01°)
1.34276496113785e+00	(4.32866804073267e+00dB,-2.96232186093467e-01°)
1.34586035405594e+00	(4.32866215008923e+00dB,-2.95561749339810e-01°)
1.34896288259164e+00	(4.32865628646636e+00dB,-2.94892869354266e-01°)
1.35207256319427e+00	(4.32865044974034e+00dB,-2.94225542661092e-01°)
1.35518941235103e+00	(4.32864463978800e+00dB,-2.93559765792285e-01°)
1.35831344658714e+00	(4.32863885648672e+00dB,-2.92895535287593e-01°)
1.36144468246594e+00	(4.32863309971445e+00dB,-2.92232847694475e-01°)
1.36458313658891e+00	(4.32862736934971e+00dB,-2.91571699568095e-01°)
1.36772882559584e+00	(4.32862166527155e+00dB,-2.90912087471320e-01°)
1.37088176616484e+00	(4.32861598735960e+00dB,-2.90254007974674e-01°)
1.37404197501251e+00	(4.32861033549400e+00dB,-2.89597457656355e-01°)
1.37720946889394e+00	(4.32860470955548e+00dB,-2.88942433102203e-01°)
1.38038426460287e+00	(4.32859910942530e+00dB,-2.88288930905694e-01°)
1.38356637897177e+00	(4.32859353498524e+00dB,-2.87636947667904e-01°)
1.38675582887188e+00	(4.32858798611764e+00dB,-2.86986479997529e-01°)
1.38995263121334e+00	(4.32858246270539e+00dB,-2.86337524510843e-01°)
1.39315680294529e+00	(4.32857696463189e+00dB,-2.85690077831686e-01°)
1.39636836105593e+00	(4.32857149178108e+00dB,-2.85044136591463e-01°)
1.39958732257261e+00	(4.32856604403744e+00dB,-2.84399697429121e-01°)
1.40281370456195e+00	(4.32856062128595e+00dB,-2.83756756991121e-01°)
1.40604752412990e+00	(4.32855522341216e+00dB,-2.83115311931448e-01°)
1.40928879842186e+00	(4.32854985030210e+00dB,-2.82475358911585e-01°)
1.41253754462274e+00	(4.32854450184234e+00dB,-2.81836894600494e-01°)
1.41579377995707e+00	(4.32853917791997e+00dB,-2.81199915674598e-01°)
1.41905752168908e+00	(4.32853387842259e+00dB,-2.80564418817790e-01°)
1.42232878712281e+00	(4.32852860323831e+00dB,-2.79930400721378e-01°)
1.42560759360218e+00	(4.32852335225577e+00dB,-2.79297858084113e-01°)
1.42889395851109e+00	(4.32851812536408e+00dB,-2.78666787612150e-01°)
1.43218789927353e+00	(4.32851292245290e+00dB,-2.78037186019038e-01°)
1.43548943335364e+00	(4.32850774341237e+00dB,-2.77409050025701e-01°)
1.43879857825583e+00	(4.32850258813314e+00dB,-2.76782376360432e-01°)
1.44211535152486e+00	(4.32849745650635e+00dB,-2.76157161758879e-01°)
1.44543977074592e+00	(4.32849234842364e+00dB,-2.75533402964020e-01°)
1.44877185354475e+00	(4.32848726377716e+00dB,-2.74911096726157e-01°)
1.45211161758773e+00	(4.32848220245954e+00dB,-2.74290239802897e-01°)
1.45545908058195e+00	(4.32847716436389e+00dB,-2.73670828959138e-01°)
1.45881426027534e+00	(4.32847214938383e+00dB,-2.73052860967072e-01°)
1.46217717445671e+00	(4.32846715741344e+00dB,-2.72436332606126e-01°)
1.46554784095590e+00	(4.32846218834732e+00dB,-2.71821240663004e-01°)
1.46892627764385e+00	(4.32845724208053e+00dB,-2.71207581931627e-01°)
1.47231250243271e+00	(4.32845231850859e+00dB,-2.70595353213147e-01°)
1.47570653327588e+00	(4.32844741752754e+00dB,-2.69984551315914e-01°)
1.47910838816819e+00	(4.32844253903387e+00dB,-2.69375173055473e-01°)
1.48251808514594e+00	(4.32843768292453e+00dB,-2.68767215254551e-01°)
1.48593564228699e+00	(4.32843284909698e+00dB,-2.68160674743034e-01°)
1.48936107771090e+00	(4.32842803744911e+00dB,-2.67555548357954e-01°)
1.49279440957898e+00	(4.32842324787930e+00dB,-2.66951832943482e-01°)
1.49623565609442e+00	(4.32841848028637e+00dB,-2.66349525350905e-01°)
1.49968483550236e+00	(4.32841373456965e+00dB,-2.65748622438623e-01°)
1.50314196609001e+00	(4.32840901062886e+00dB,-2.65149121072120e-01°)
1.50660706618673e+00	(4.32840430836425e+00dB,-2.64551018123964e-01°)
1.51008015416413e+00	(4.32839962767649e+00dB,-2.63954310473785e-01°)
1.51356124843619e+00	(4.32839496846668e+00dB,-2.63358995008258e-01°)
1.51705036745932e+00	(4.32839033063643e+00dB,-2.62765068621099e-01°)
1.52054752973248e+00	(4.32838571408776e+00dB,-2.62172528213047e-01°)
1.52405275379728e+00	(4.32838111872313e+00dB,-2.61581370691834e-01°)
1.52756605823806e+00	(4.32837654444549e+00dB,-2.60991592972209e-01°)
1.53108746168201e+00	(4.32837199115818e+00dB,-2.60403191975871e-01°)
1.53461698279928e+00	(4.32836745876503e+00dB,-2.59816164631515e-01°)
1.53815464030302e+00	(4.32836294717027e+00dB,-2.59230507874759e-01°)
1.54170045294954e+00	(4.32835845627859e+00dB,-2.58646218648178e-01°)
1.54525443953840e+00	(4.32835398599512e+00dB,-2.58063293901263e-01°)
1.54881661891247e+00	(4.32834953622541e+00dB,-2.57481730590405e-01°)
1.55238700995807e+00	(4.32834510687545e+00dB,-2.56901525678909e-01°)
1.55596563160506e+00	(4.32834069785164e+00dB,-2.56322676136942e-01°)
1.55955250282694e+00	(4.32833630906084e+00dB,-2.55745178941561e-01°)
1.56314764264094e+00	(4.32833194041032e+00dB,-2.55169031076655e-01°)
1.56675107010813e+00	(4.32832759180777e+00dB,-2.54594229532965e-01°)
1.57036280433354e+00	(4.32832326316130e+00dB,-2.54020771308049e-01°)
1.57398286446620e+00	(4.32831895437946e+00dB,-2.53448653406294e-01°)
1.57761126969933e+00	(4.32831466537119e+00dB,-2.52877872838864e-01°)
1.58124803927037e+00	(4.32831039604587e+00dB,-2.52308426623727e-01°)
1.58489319246110e+00	(4.32830614631328e+00dB,-2.51740311785608e-01°)
1.58854674859776e+00	(4.32830191608362e+00dB,-2.51173525355996e-01°)
1.59220872705115e+00	(4.32829770526751e+00dB,-2.50608064373120e-01°)
1.59587914723672e+00	(4.32829351377594e+00dB,-2.50043925881954e-01°)
1.59955802861465e+00	(4.32828934152036e+00dB,-2.49481106934161e-01°)
1.60324539069002e+00	(4.32828518841258e+00dB,-2.48919604588135e-01°)
1.60694125301286e+00	(4.32828105436485e+00dB,-2.48359415908936e-01°)
1.61064563517825e+00	(4.32827693928978e+00dB,-2.47800537968314e-01°)
1.61435855682647e+00	(4.32827284310043e+00dB,-2.47242967844681e-01°)
1.61808003764305e+00	(4.32826876571021e+00dB,-2.46686702623089e-01°)
1.62181009735891e+00	(4.32826470703296e+00dB,-2.46131739395232e-01°)
1.62554875575047e+00	(4.32826066698290e+00dB,-2.45578075259428e-01°)
1.62929603263970e+00	(4.32825664547463e+00dB,-2.45025707320593e-01°)
1.63305194789432e+00	(4.32825264242317e+00dB,-2.44474632690244e-01°)
1.63681652142779e+00	(4.32824865774390e+00dB,-2.43924848486480e-01°)
1.64058977319952e+00	(4.32824469135260e+00dB,-2.43376351833972e-01°)
1.64437172321491e+00	(4.32824074316545e+00dB,-2.42829139863937e-01°)
1.64816239152549e+00	(4.32823681309898e+00dB,-2.42283209714134e-01°)
1.65196179822900e+00	(4.32823290107014e+00dB,-2.41738558528862e-01°)
1.65576996346951e+00	(4.32822900699622e+00dB,-2.41195183458919e-01°)
1.65958690743754e+00	(4.32822513079492e+00dB,-2.40653081661615e-01°)
1.66341265037015e+00	(4.32822127238429e+00dB,-2.40112250300740e-01°)
1.66724721255104e+00	(4.32821743168279e+00dB,-2.39572686546569e-01°)
1.67109061431069e+00	(4.32821360860922e+00dB,-2.39034387575826e-01°)
1.67494287602642e+00	(4.32820980308277e+00dB,-2.38497350571693e-01°)
1.67880401812254e+00	(4.32820601502299e+00dB,-2.37961572723785e-01°)
1.68267406107045e+00	(4.32820224434981e+00dB,-2.37427051228142e-01°)
1.68655302538872e+00	(4.32819849098350e+00dB,-2.36893783287209e-01°)
1.69044093164324e+00	(4.32819475484473e+00dB,-2.36361766109822e-01°)
1.69433780044731e+00	(4.32819103585451e+00dB,-2.35830996911212e-01°)
1.69824365246172e+00	(4.32818733393422e+00dB,-2.35301472912972e-01°)
1.70215850839493e+00	(4.32818364900560e+00dB,-2.34773191343048e-01°)
1.70608238900310e+00	(4.32817998099073e+00dB,-2.34246149435751e-01°)
1.71001531509027e+00	(4.32817632981208e+00dB,-2.33720344431688e-01°)
1.71395730750840e+00	(4.32817269539245e+00dB,-2.33195773577812e-01°)
1.71790838715757e+00	(4.32816907765499e+00dB,-2.32672434127369e-01°)
1.72186857498599e+00	(4.32816547652322e+00dB,-2.32150323339906e-01°)
1.72583789199018e+00	(4.32816189192101e+00dB,-2.31629438481231e-01°)
1.72981635921508e+00	(4.32815832377256e+00dB,-2.31109776823437e-01°)
1.73380399775412e+00	(4.32815477200242e+00dB,-2.30591335644866e-01°)
1.73780082874935e+00	(4.32815123653551e+00dB,-2.30074112230086e-01°)
1.74180687339159e+00	(4.32814771729706e+00dB,-2.29558103869917e-01°)
1.74582215292048e+00	(4.32814421421266e+00dB,-2.29043307861372e-01°)
1.74984668862463e+00	(4.32814072720825e+00dB,-2.28529721507677e-01°)
1.75388050184174e+00	(4.32813725621008e+00dB,-2.28017342118248e-01°)
1.75792361395867e+00	(4.32813380114477e+00dB,-2.27506167008671e-01°)
1.76197604641161e+00	(4.32813036193925e+00dB,-2.26996193500703e-01°)
1.76603782068614e+00	(4.32812693852080e+00dB,-2.26487418922248e-01°)
1.77010895831740e+00	(4.32812353081703e+00dB,-2.25979840607344e-01°)
1.77418948089014e+00	(4.32812013875587e+00dB,-2.25473455896168e-01°)
1.77827941003890e+00	(4.32811676226560e+00dB,-2.24968262134999e-01°)
1.78237876744807e+00	(4.32811340127481e+00dB,-2.24464256676227e-01°)
1.78648757485203e+00	(4.32811005571242e+00dB,-2.23961436878307e-01°)
1.79060585403527e+00	(4.32810672550770e+00dB,-2.23459800105803e-01°)
1.79473362683250e+00	(4.32810341059020e+00dB,-2.22959343729319e-01°)
1.79887091512876e+00	(4.32810011088983e+00dB,-2.22460065125514e-01°)
1.80301774085954e+00	(4.32809682633680e+00dB,-2.21961961677086e-01°)
1.80717412601090e+00	(4.32809355686164e+00dB,-2.21465030772759e-01°)
1.81134009261958e+00	(4.32809030239522e+00dB,-2.20969269807276e-01°)
1.81551566277311e+00	(4.32808706286871e+00dB,-2.20474676181374e-01°)
1.81970085860996e+00	(4.32808383821358e+00dB,-2.19981247301774e-01°)
1.82389570231961e+00	(4.32808062836164e+00dB,-2.19488980581183e-01°)
1.82810021614272e+00	(4.32807743324500e+00dB,-2.18997873438266e-01°)
1.83231442237119e+00	(4.32807425279608e+00dB,-2.18507923297643e-01°)
1.83653834334832e+00	(4.32807108694762e+00dB,-2.18019127589868e-01°)
1.84077200146893e+00	(4.32806793563265e+00dB,-2.17531483751424e-01°)
1.84501541917945e+00	(4.32806479878452e+00dB,-2.17044989224708e-01°)
1.84926861897805e+00	(4.32806167633689e+00dB,-2.16559641458023e-01°)
1.85353162341478e+00	(4.32805856822369e+00dB,-2.16075437905559e-01°)
1.85780445509167e+00	(4.32805547437921e+00dB,-2.15592376027385e-01°)
1.86208713666284e+00	(4.32805239473799e+00dB,-2.15110453289428e-01°)
1.86637969083464e+00	(4.32804932923489e+00dB,-2.14629667163481e-01°)
1.87068214036577e+00	(4.32804627780507e+00dB,-2.14150015127170e-01°)
1.87499450806739e+00	(4.32804324038398e+00dB,-2.13671494663954e-01°)
1.87931681680324e+00	(4.32804021690737e+00dB,-2.13194103263108e-01°)
1.88364908948977e+00	(4.32803720731129e+00dB,-2.12717838419712e-01°)
1.88799134909627e+00	(4.32803421153207e+00dB,-2.12242697634636e-01°)
1.89234361864495e+00	(4.32803122950634e+00dB,-2.11768678414538e-01°)
1.89670592121112e+00	(4.32802826117102e+00dB,-2.11295778271840e-01°)
1.90107827992327e+00	(4.32802530646330e+00dB,-2.10823994724725e-01°)
1.90546071796322e+00	(4.32802236532070e+00dB,-2.10353325297120e-01°)
1.90985325856621e+00	(4.32801943768099e+00dB,-2.09883767518674e-01°)
1.91425592502106e+00	(4.32801652348223e+00dB,-2.09415318924775e-01°)
1.91866874067026e+00	(4.32801362266277e+00dB,-2.08947977056514e-01°)
1.92309172891013e+00	(4.32801073516125e+00dB,-2.08481739460674e-01°)
1.92752491319091e+00	(4.32800786091657e+00dB,-2.08016603689730e-01°)
1.93196831701689e+00	(4.32800499986794e+00dB,-2.07552567301825e-01°)
1.93642196394658e+00	(4.32800215195482e+00dB,-2.07089627860781e-01°)
1.94088587759275e+00	(4.32799931711695e+00dB,-2.06627782936048e-01°)
1.94536008162263e+00	(4.32799649529437e+00dB,-2.06167030102721e-01°)
1.94984459975802e+00	(4.32799368642737e+00dB,-2.05707366941528e-01°)
1.95433945577536e+00	(4.32799089045653e+00dB,-2.05248791038810e-01°)
1.95884467350596e+00	(4.32798810732268e+00dB,-2.04791299986517e-01°)
1.96336027683602e+00	(4.32798533696695e+00dB,-2.04334891382177e-01°)
1.96788628970681e+00	(4.32798257933072e+00dB,-2.03879562828906e-01°)
1.97242273611482e+00	(4.32797983435564e+00dB,-2.03425311935392e-01°)
1.97696964011183e+00	(4.32797710198363e+00dB,-2.02972136315875e-01°)
1.98152702580507e+00	(4.32797438215688e+00dB,-2.02520033590141e-01°)
1.98609491735734e+00	(4.32797167481785e+00dB,-2.02069001383514e-01°)
1.99067333898715e+00	(4.32796897990924e+00dB,-2.01619037326835e-01°)
1.99526231496885e+00	(4.32796629737404e+00dB,-2.01170139056458e-01°)
1.99986186963271e+00	(4.32796362715548e+00dB,-2.00722304214241e-01°)
2.00447202736513e+00	(4.32796096919707e+00dB,-2.00275530447516e-01°)
2.00909281260870e+00	(4.32795832344255e+00dB,-1.99829815409108e-01°)
2.01372424986236e+00	(4.32795568983595e+00dB,-1.99385156757297e-01°)
2.01836636368153e+00	(4.32795306832154e+00dB,-1.98941552155824e-01°)
2.02301917867824e+00	(4.32795045884385e+00dB,-1.98498999273864e-01°)
2.02768271952125e+00	(4.32794786134765e+00dB,-1.98057495786025e-01°)
2.03235701093619e+00	(4.32794527577799e+00dB,-1.97617039372339e-01°)
2.03704207770568e+00	(4.32794270208014e+00dB,-1.97177627718241e-01°)
2.04173794466950e+00	(4.32794014019964e+00dB,-1.96739258514572e-01°)
2.04644463672464e+00	(4.32793759008229e+00dB,-1.96301929457545e-01°)
2.05116217882553e+00	(4.32793505167411e+00dB,-1.95865638248757e-01°)
2.05589059598411e+00	(4.32793252492139e+00dB,-1.95430382595168e-01°)
2.06062991326997e+00	(4.32793000977065e+00dB,-1.94996160209089e-01°)
2.06538015581049e+00	(4.32792750616868e+00dB,-1.94562968808168e-01°)
2.07014134879101e+00	(4.32792501406248e+00dB,-1.94130806115387e-01°)
2.07491351745487e+00	(4.32792253339931e+00dB,-1.93699669859040e-01°)
2.07969668710366e+00	(4.32792006412668e+00dB,-1.93269557772741e-01°)
2.08449088309725e+00	(4.32791760619233e+00dB,-1.92840467595395e-01°)
2.08929613085400e+00	(4.32791515954424e+00dB,-1.92412397071184e-01°)
2.09411245585086e+00	(4.32791272413063e+00dB,-1.91985343949573e-01°)
2.09893988362349e+00	(4.32791029989996e+00dB,-1.91559305985289e-01°)
2.10377843976644e+00	(4.32790788680092e+00dB,-1.91134280938309e-01°)
2.10862814993325e+00	(4.32790548478244e+00dB,-1.90710266573853e-01°)
2.11348903983661e+00	(4.32790309379367e+00dB,-1.90287260662370e-01°)
2.11836113524847e+00	(4.32790071378403e+00dB,-1.89865260979528e-01°)
2.12324446200018e+00	(4.32789834470313e+00dB,-1.89444265306209e-01°)
2.12813904598267e+00	(4.32789598650083e+00dB,-1.89024271428490e-01°)
2.13304491314654e+00	(4.32789363912722e+00dB,-1.88605277137623e-01°)
2.13796208950219e+00	(4.32789130253262e+00dB,-1.88187280230051e-01°)
2.14289060112002e+00	(4.32788897666757e+00dB,-1.87770278507383e-01°)
2.14783047413050e+00	(4.32788666148283e+00dB,-1.87354269776366e-01°)
2.15278173472433e+00	(4.32788435692942e+00dB,-1.86939251848898e-01°)
2.15774440915263e+00	(4.32788206295855e+00dB,-1.86525222542024e-01°)
2.16271852372698e+00	(4.32787977952166e+00dB,-1.86112179677895e-01°)
2.16770410481966e+00	(4.32787750657042e+00dB,-1.85700121083766e-01°)
2.17270117886371e+00	(4.32787524405673e+00dB,-1.85289044592018e-01°)
2.17770977235312e+00	(4.32787299193268e+00dB,-1.84878948040097e-01°)
2.18272991184296e+00	(4.32787075015061e+00dB,-1.84469829270544e-01°)
2.18776162394951e+00	(4.32786851866307e+00dB,-1.84061686130963e-01°)
2.19280493535041e+00	(4.32786629742282e+00dB,-1.83654516474004e-01°)
2.19785987278478e+00	(4.32786408638284e+00dB,-1.83248318157388e-01°)
2.20292646305342e+00	(4.32786188549632e+00dB,-1.82843089043866e-01°)
2.20800473301886e+00	(4.32785969471669e+00dB,-1.82438827001191e-01°)
2.21309470960560e+00	(4.32785751399756e+00dB,-1.82035529902161e-01°)
2.21819641980018e+00	(4.32785534329277e+00dB,-1.81633195624567e-01°)
2.22330989065136e+00	(4.32785318255638e+00dB,-1.81231822051197e-01°)
2.22843514927026e+00	(4.32785103174263e+00dB,-1.80831407069824e-01°)
2.23357222283049e+00	(4.32784889080601e+00dB,-1.80431948573185e-01°)
2.23872113856830e+00	(4.32784675970117e+00dB,-1.80033444458996e-01°)
2.24388192378272e+00	(4.32784463838303e+00dB,-1.79635892629915e-01°)
2.24905460583574e+00	(4.32784252680666e+00dB,-1.79239290993542e-01°)
2.25423921215239e+00	(4.32784042492737e+00dB,-1.78843637462415e-01°)
2.25943577022093e+00	(4.32783833270065e+00dB,-1.78448929953990e-01°)
2.26464430759302e+00	(4.32783625008221e+00dB,-1.78055166390638e-01°)
2.26986485188378e+00	(4.32783417702798e+00dB,-1.77662344699628e-01°)
2.27509743077203e+00	(4.32783211349405e+00dB,-1.77270462813123e-01°)
