Freq.	I(ROUT_OPTO)/I(RIN_OPTO)
1.07398941234124e+00	(6.26735233596529e+00dB,-6.48586510400741e-02°)
1.07646521362983e+00	(6.26735199712906e+00dB,-6.47173202156206e-02°)
1.07894672222983e+00	(6.26735165984934e+00dB,-6.45763323578433e-02°)
1.08143395129794e+00	(6.26735132411897e+00dB,-6.44356867203347e-02°)
1.08392691402120e+00	(6.26735098993084e+00dB,-6.42953825584807e-02°)
1.08642562361706e+00	(6.26735065727785e+00dB,-6.41554191294772e-02°)
1.08893009333343e+00	(6.26735032615297e+00dB,-6.40157956923175e-02°)
1.09144033644875e+00	(6.26734999654916e+00dB,-6.38765115077824e-02°)
1.09395636627209e+00	(6.26734966845944e+00dB,-6.37375658384681e-02°)
1.09647819614318e+00	(6.26734934187686e+00dB,-6.35989579487287e-02°)
1.09900583943252e+00	(6.26734901679448e+00dB,-6.34606871047245e-02°)
1.10153930954141e+00	(6.26734869320543e+00dB,-6.33227525743798e-02°)
1.10407861990207e+00	(6.26734837110283e+00dB,-6.31851536274078e-02°)
1.10662378397766e+00	(6.26734805047987e+00dB,-6.30478895352820e-02°)
1.10917481526240e+00	(6.26734773132974e+00dB,-6.29109595712466e-02°)
1.11173172728159e+00	(6.26734741364567e+00dB,-6.27743630103282e-02°)
1.11429453359173e+00	(6.26734709742094e+00dB,-6.26380991292893e-02°)
1.11686324778056e+00	(6.26734678264883e+00dB,-6.25021672066648e-02°)
1.11943788346715e+00	(6.26734646932268e+00dB,-6.23665665227326e-02°)
1.12201845430196e+00	(6.26734615743584e+00dB,-6.22312963595315e-02°)
1.12460497396692e+00	(6.26734584698169e+00dB,-6.20963560008379e-02°)
1.12719745617551e+00	(6.26734553795367e+00dB,-6.19617447321706e-02°)
1.12979591467279e+00	(6.26734523034521e+00dB,-6.18274618407913e-02°)
1.13240036323555e+00	(6.26734492414979e+00dB,-6.16935066156867e-02°)
1.13501081567231e+00	(6.26734461936093e+00dB,-6.15598783475861e-02°)
1.13762728582343e+00	(6.26734431597216e+00dB,-6.14265763289388e-02°)
1.14024978756117e+00	(6.26734401397704e+00dB,-6.12935998539163e-02°)
1.14287833478977e+00	(6.26734371336919e+00dB,-6.11609482184223e-02°)
1.14551294144553e+00	(6.26734341414221e+00dB,-6.10286207200549e-02°)
1.14815362149688e+00	(6.26734311628978e+00dB,-6.08966166581369e-02°)
1.15080038894443e+00	(6.26734281980556e+00dB,-6.07649353337055e-02°)
1.15345325782109e+00	(6.26734252468329e+00dB,-6.06335760494950e-02°)
1.15611224219209e+00	(6.26734223091670e+00dB,-6.05025381099348e-02°)
1.15877735615512e+00	(6.26734193849957e+00dB,-6.03718208211673e-02°)
1.16144861384034e+00	(6.26734164742568e+00dB,-6.02414234910149e-02°)
1.16412602941049e+00	(6.26734135768888e+00dB,-6.01113454289958e-02°)
1.16680961706096e+00	(6.26734106928302e+00dB,-5.99815859463184e-02°)
1.16949939101987e+00	(6.26734078220199e+00dB,-5.98521443558732e-02°)
1.17219536554813e+00	(6.26734049643969e+00dB,-5.97230199722239e-02°)
1.17489755493953e+00	(6.26734021199008e+00dB,-5.95942121116165e-02°)
1.17760597352080e+00	(6.26733992884711e+00dB,-5.94657200919670e-02°)
1.18032063565173e+00	(6.26733964700479e+00dB,-5.93375432328570e-02°)
1.18304155572516e+00	(6.26733936645715e+00dB,-5.92096808555405e-02°)
1.18576874816716e+00	(6.26733908719822e+00dB,-5.90821322829250e-02°)
1.18850222743701e+00	(6.26733880922210e+00dB,-5.89548968395852e-02°)
1.19124200802737e+00	(6.26733853252289e+00dB,-5.88279738517436e-02°)
1.19398810446427e+00	(6.26733825709472e+00dB,-5.87013626472699e-02°)
1.19674053130724e+00	(6.26733798293176e+00dB,-5.85750625556968e-02°)
1.19949930314937e+00	(6.26733771002818e+00dB,-5.84490729081816e-02°)
1.20226443461741e+00	(6.26733743837821e+00dB,-5.83233930375386e-02°)
1.20503594037179e+00	(6.26733716797609e+00dB,-5.81980222782104e-02°)
1.20781383510677e+00	(6.26733689881608e+00dB,-5.80729599662701e-02°)
1.21059813355048e+00	(6.26733663089248e+00dB,-5.79482054394299e-02°)
1.21338885046497e+00	(6.26733636419960e+00dB,-5.78237580370200e-02°)
1.21618600064636e+00	(6.26733609873179e+00dB,-5.76996171000039e-02°)
1.21898959892486e+00	(6.26733583448342e+00dB,-5.75757819709532e-02°)
1.22179966016487e+00	(6.26733557144890e+00dB,-5.74522519940588e-02°)
1.22461619926504e+00	(6.26733530962263e+00dB,-5.73290265151310e-02°)
1.22743923115840e+00	(6.26733504899908e+00dB,-5.72061048815870e-02°)
1.23026877081238e+00	(6.26733478957272e+00dB,-5.70834864424397e-02°)
1.23310483322890e+00	(6.26733453133804e+00dB,-5.69611705483152e-02°)
1.23594743344450e+00	(6.26733427428958e+00dB,-5.68391565514362e-02°)
1.23879658653036e+00	(6.26733401842188e+00dB,-5.67174438056189e-02°)
1.24165230759240e+00	(6.26733376372951e+00dB,-5.65960316662785e-02°)
1.24451461177138e+00	(6.26733351020708e+00dB,-5.64749194904059e-02°)
1.24738351424294e+00	(6.26733325784921e+00dB,-5.63541066365895e-02°)
1.25025903021771e+00	(6.26733300665055e+00dB,-5.62335924649979e-02°)
1.25314117494141e+00	(6.26733275660578e+00dB,-5.61133763373688e-02°)
1.25602996369487e+00	(6.26733250770958e+00dB,-5.59934576170285e-02°)
1.25892541179416e+00	(6.26733225995670e+00dB,-5.58738356688682e-02°)
1.26182753459066e+00	(6.26733201334187e+00dB,-5.57545098593485e-02°)
1.26473634747114e+00	(6.26733176785986e+00dB,-5.56354795564958e-02°)
1.26765186585784e+00	(6.26733152350548e+00dB,-5.55167441299007e-02°)
1.27057410520853e+00	(6.26733128027353e+00dB,-5.53983029507043e-02°)
1.27350308101665e+00	(6.26733103815887e+00dB,-5.52801553916186e-02°)
1.27643880881134e+00	(6.26733079715635e+00dB,-5.51623008268931e-02°)
1.27938130415752e+00	(6.26733055726087e+00dB,-5.50447386323248e-02°)
1.28233058265601e+00	(6.26733031846735e+00dB,-5.49274681852809e-02°)
1.28528665994361e+00	(6.26733008077072e+00dB,-5.48104888646345e-02°)
1.28824955169313e+00	(6.26732984416593e+00dB,-5.46938000508320e-02°)
1.29121927361353e+00	(6.26732960864798e+00dB,-5.45774011258265e-02°)
1.29419584144998e+00	(6.26732937421187e+00dB,-5.44612914731275e-02°)
1.29717927098395e+00	(6.26732914085263e+00dB,-5.43454704777573e-02°)
1.30016957803328e+00	(6.26732890856531e+00dB,-5.42299375262662e-02°)
1.30316677845229e+00	(6.26732867734499e+00dB,-5.41146920067454e-02°)
1.30617088813183e+00	(6.26732844718676e+00dB,-5.39997333087824e-02°)
1.30918192299940e+00	(6.26732821808574e+00dB,-5.38850608234878e-02°)
1.31219989901919e+00	(6.26732799003709e+00dB,-5.37706739435022e-02°)
1.31522483219223e+00	(6.26732776303595e+00dB,-5.36565720629478e-02°)
1.31825673855640e+00	(6.26732753707752e+00dB,-5.35427545774681e-02°)
1.32129563418657e+00	(6.26732731215701e+00dB,-5.34292208842273e-02°)
1.32434153519466e+00	(6.26732708826965e+00dB,-5.33159703818565e-02°)
1.32739445772973e+00	(6.26732686541069e+00dB,-5.32030024705033e-02°)
1.33045441797808e+00	(6.26732664357540e+00dB,-5.30903165518176e-02°)
1.33352143216332e+00	(6.26732642275909e+00dB,-5.29779120289190e-02°)
1.33659551654643e+00	(6.26732620295707e+00dB,-5.28657883064252e-02°)
1.33967668742593e+00	(6.26732598416468e+00dB,-5.27539447904535e-02°)
1.34276496113785e+00	(6.26732576637728e+00dB,-5.26423808885685e-02°)
1.34586035405594e+00	(6.26732554959026e+00dB,-5.25310960098539e-02°)
1.34896288259164e+00	(6.26732533379902e+00dB,-5.24200895648372e-02°)
1.35207256319427e+00	(6.26732511899897e+00dB,-5.23093609655321e-02°)
1.35518941235103e+00	(6.26732490518558e+00dB,-5.21989096254155e-02°)
1.35831344658714e+00	(6.26732469235430e+00dB,-5.20887349594433e-02°)
1.36144468246594e+00	(6.26732448050062e+00dB,-5.19788363840156e-02°)
1.36458313658891e+00	(6.26732426962005e+00dB,-5.18692133170154e-02°)
1.36772882559584e+00	(6.26732405970812e+00dB,-5.17598651777542e-02°)
1.37088176616484e+00	(6.26732385076037e+00dB,-5.16507913870213e-02°)
1.37404197501251e+00	(6.26732364277239e+00dB,-5.15419913670492e-02°)
1.37720946889394e+00	(6.26732343573975e+00dB,-5.14334645415181e-02°)
1.38038426460287e+00	(6.26732322965807e+00dB,-5.13252103355429e-02°)
1.38356637897177e+00	(6.26732302452298e+00dB,-5.12172281757047e-02°)
1.38675582887188e+00	(6.26732282033013e+00dB,-5.11095174899986e-02°)
1.38995263121334e+00	(6.26732261707519e+00dB,-5.10020777078651e-02°)
1.39315680294529e+00	(6.26732241475384e+00dB,-5.08949082601854e-02°)
1.39636836105593e+00	(6.26732221336181e+00dB,-5.07880085792553e-02°)
1.39958732257261e+00	(6.26732201289482e+00dB,-5.06813780988088e-02°)
1.40281370456195e+00	(6.26732181334861e+00dB,-5.05750162540025e-02°)
1.40604752412990e+00	(6.26732161471897e+00dB,-5.04689224814024e-02°)
1.40928879842186e+00	(6.26732141700167e+00dB,-5.03630962190095e-02°)
1.41253754462274e+00	(6.26732122019252e+00dB,-5.02575369062270e-02°)
1.41579377995707e+00	(6.26732102428736e+00dB,-5.01522439838783e-02°)
1.41905752168908e+00	(6.26732082928203e+00dB,-5.00472168941907e-02°)
1.42232878712281e+00	(6.26732063517238e+00dB,-4.99424550807947e-02°)
1.42560759360218e+00	(6.26732044195432e+00dB,-4.98379579887321e-02°)
1.42889395851109e+00	(6.26732024962373e+00dB,-4.97337250644479e-02°)
1.43218789927353e+00	(6.26732005817655e+00dB,-4.96297557557642e-02°)
1.43548943335364e+00	(6.26731986760871e+00dB,-4.95260495119174e-02°)
1.43879857825583e+00	(6.26731967791618e+00dB,-4.94226057835373e-02°)
1.44211535152486e+00	(6.26731948909492e+00dB,-4.93194240226192e-02°)
1.44543977074592e+00	(6.26731930114094e+00dB,-4.92165036825664e-02°)
1.44877185354475e+00	(6.26731911405025e+00dB,-4.91138442181607e-02°)
1.45211161758773e+00	(6.26731892781888e+00dB,-4.90114450855514e-02°)
1.45545908058195e+00	(6.26731874244290e+00dB,-4.89093057422833e-02°)
1.45881426027534e+00	(6.26731855791835e+00dB,-4.88074256472659e-02°)
1.46217717445671e+00	(6.26731837424134e+00dB,-4.87058042607783e-02°)
1.46554784095590e+00	(6.26731819140797e+00dB,-4.86044410444710e-02°)
1.46892627764385e+00	(6.26731800941436e+00dB,-4.85033354613609e-02°)
1.47231250243271e+00	(6.26731782825665e+00dB,-4.84024869758248e-02°)
1.47570653327588e+00	(6.26731764793100e+00dB,-4.83018950536089e-02°)
1.47910838816819e+00	(6.26731746843359e+00dB,-4.82015591618017e-02°)
1.48251808514594e+00	(6.26731728976061e+00dB,-4.81014787688599e-02°)
1.48593564228699e+00	(6.26731711190828e+00dB,-4.80016533445832e-02°)
1.48936107771090e+00	(6.26731693487281e+00dB,-4.79020823601234e-02°)
1.49279440957898e+00	(6.26731675865047e+00dB,-4.78027652879797e-02°)
1.49623565609442e+00	(6.26731658323750e+00dB,-4.77037016019959e-02°)
1.49968483550236e+00	(6.26731640863020e+00dB,-4.76048907773513e-02°)
1.50314196609001e+00	(6.26731623482486e+00dB,-4.75063322905618e-02°)
1.50660706618673e+00	(6.26731606181779e+00dB,-4.74080256194777e-02°)
1.51008015416413e+00	(6.26731588960533e+00dB,-4.73099702433103e-02°)
1.51356124843619e+00	(6.26731571818383e+00dB,-4.72121656425435e-02°)
1.51705036745932e+00	(6.26731554754964e+00dB,-4.71146112990515e-02°)
1.52054752973248e+00	(6.26731537769916e+00dB,-4.70173066959828e-02°)
1.52405275379728e+00	(6.26731520862877e+00dB,-4.69202513178225e-02°)
1.52756605823806e+00	(6.26731504033491e+00dB,-4.68234446503998e-02°)
1.53108746168201e+00	(6.26731487281399e+00dB,-4.67268861808191e-02°)
1.53461698279928e+00	(6.26731470606246e+00dB,-4.66305753975267e-02°)
1.53815464030302e+00	(6.26731454007680e+00dB,-4.65345117902668e-02°)
1.54170045294954e+00	(6.26731437485347e+00dB,-4.64386948500930e-02°)
1.54525443953840e+00	(6.26731421038898e+00dB,-4.63431240693720e-02°)
1.54881661891247e+00	(6.26731404667984e+00dB,-4.62477989417592e-02°)
1.55238700995807e+00	(6.26731388372258e+00dB,-4.61527189622255e-02°)
1.55596563160506e+00	(6.26731372151373e+00dB,-4.60578836270225e-02°)
1.55955250282694e+00	(6.26731356004988e+00dB,-4.59632924337193e-02°)
1.56314764264094e+00	(6.26731339932758e+00dB,-4.58689448811506e-02°)
1.56675107010813e+00	(6.26731323934343e+00dB,-4.57748404694545e-02°)
1.57036280433354e+00	(6.26731308009404e+00dB,-4.56809787000606e-02°)
1.57398286446620e+00	(6.26731292157604e+00dB,-4.55873590756599e-02°)
1.57761126969933e+00	(6.26731276378606e+00dB,-4.54939811002584e-02°)
1.58124803927037e+00	(6.26731260672074e+00dB,-4.54008442791118e-02°)
1.58489319246110e+00	(6.26731245037678e+00dB,-4.53079481187689e-02°)
1.58854674859776e+00	(6.26731229475085e+00dB,-4.52152921270439e-02°)
1.59220872705115e+00	(6.26731213983964e+00dB,-4.51228758130213e-02°)
1.59587914723672e+00	(6.26731198563989e+00dB,-4.50306986870671e-02°)
1.59955802861465e+00	(6.26731183214830e+00dB,-4.49387602607872e-02°)
1.60324539069002e+00	(6.26731167936164e+00dB,-4.48470600470851e-02°)
1.60694125301286e+00	(6.26731152727666e+00dB,-4.47555975600923e-02°)
1.61064563517825e+00	(6.26731137589014e+00dB,-4.46643723152153e-02°)
1.61435855682647e+00	(6.26731122519886e+00dB,-4.45733838291242e-02°)
1.61808003764305e+00	(6.26731107519963e+00dB,-4.44826316197197e-02°)
1.62181009735891e+00	(6.26731092588928e+00dB,-4.43921152061682e-02°)
1.62554875575047e+00	(6.26731077726463e+00dB,-4.43018341088819e-02°)
1.62929603263970e+00	(6.26731062932253e+00dB,-4.42117878495117e-02°)
1.63305194789432e+00	(6.26731048205984e+00dB,-4.41219759509631e-02°)
1.63681652142779e+00	(6.26731033547346e+00dB,-4.40323979373812e-02°)
1.64058977319952e+00	(6.26731018956025e+00dB,-4.39430533341271e-02°)
1.64437172321491e+00	(6.26731004431714e+00dB,-4.38539416678249e-02°)
1.64816239152549e+00	(6.26730989974104e+00dB,-4.37650624663176e-02°)
1.65196179822900e+00	(6.26730975582889e+00dB,-4.36764152586928e-02°)
1.65576996346951e+00	(6.26730961257763e+00dB,-4.35879995752288e-02°)
1.65958690743754e+00	(6.26730946998422e+00dB,-4.34998149474780e-02°)
1.66341265037015e+00	(6.26730932804565e+00dB,-4.34118609081817e-02°)
1.66724721255104e+00	(6.26730918675891e+00dB,-4.33241369913181e-02°)
1.67109061431069e+00	(6.26730904612098e+00dB,-4.32366427320664e-02°)
1.67494287602642e+00	(6.26730890612891e+00dB,-4.31493776668514e-02°)
1.67880401812254e+00	(6.26730876677972e+00dB,-4.30623413332744e-02°)
1.68267406107045e+00	(6.26730862807044e+00dB,-4.29755332701858e-02°)
1.68655302538872e+00	(6.26730848999815e+00dB,-4.28889530176055e-02°)
1.69044093164324e+00	(6.26730835255991e+00dB,-4.28026001167877e-02°)
1.69433780044731e+00	(6.26730821575281e+00dB,-4.27164741101839e-02°)
1.69824365246172e+00	(6.26730807957394e+00dB,-4.26305745414295e-02°)
1.70215850839493e+00	(6.26730794402043e+00dB,-4.25449009553870e-02°)
1.70608238900310e+00	(6.26730780908940e+00dB,-4.24594528980848e-02°)
1.71001531509027e+00	(6.26730767477798e+00dB,-4.23742299167793e-02°)
1.71395730750840e+00	(6.26730754108332e+00dB,-4.22892315598787e-02°)
1.71790838715757e+00	(6.26730740800260e+00dB,-4.22044573770187e-02°)
1.72186857498599e+00	(6.26730727553299e+00dB,-4.21199069189933e-02°)
1.72583789199018e+00	(6.26730714367168e+00dB,-4.20355797377974e-02°)
1.72981635921508e+00	(6.26730701241587e+00dB,-4.19514753865979e-02°)
1.73380399775412e+00	(6.26730688176279e+00dB,-4.18675934197476e-02°)
1.73780082874935e+00	(6.26730675170966e+00dB,-4.17839333927699e-02°)
1.74180687339159e+00	(6.26730662225372e+00dB,-4.17004948623781e-02°)
1.74582215292048e+00	(6.26730649339223e+00dB,-4.16172773864325e-02°)
1.74984668862463e+00	(6.26730636512246e+00dB,-4.15342805239942e-02°)
1.75388050184174e+00	(6.26730623744169e+00dB,-4.14515038352687e-02°)
1.75792361395867e+00	(6.26730611034720e+00dB,-4.13689468816279e-02°)
1.76197604641161e+00	(6.26730598383631e+00dB,-4.12866092256291e-02°)
1.76603782068614e+00	(6.26730585790633e+00dB,-4.12044904309624e-02°)
1.77010895831740e+00	(6.26730573255459e+00dB,-4.11225900625004e-02°)
1.77418948089014e+00	(6.26730560777843e+00dB,-4.10409076862512e-02°)
1.77827941003890e+00	(6.26730548357521e+00dB,-4.09594428693918e-02°)
1.78237876744807e+00	(6.26730535994230e+00dB,-4.08781951802461e-02°)
1.78648757485203e+00	(6.26730523687706e+00dB,-4.07971641882902e-02°)
1.79060585403527e+00	(6.26730511437690e+00dB,-4.07163494641455e-02°)
1.79473362683250e+00	(6.26730499243921e+00dB,-4.06357505795732e-02°)
1.79887091512876e+00	(6.26730487106142e+00dB,-4.05553671074793e-02°)
1.80301774085954e+00	(6.26730475024094e+00dB,-4.04751986219172e-02°)
1.80717412601090e+00	(6.26730462997521e+00dB,-4.03952446980780e-02°)
1.81134009261958e+00	(6.26730451026168e+00dB,-4.03155049122782e-02°)
1.81551566277311e+00	(6.26730439109783e+00dB,-4.02359788419750e-02°)
1.81970085860996e+00	(6.26730427248111e+00dB,-4.01566660657630e-02°)
1.82389570231961e+00	(6.26730415440901e+00dB,-4.00775661633490e-02°)
1.82810021614272e+00	(6.26730403687903e+00dB,-3.99986787155882e-02°)
1.83231442237119e+00	(6.26730391988867e+00dB,-3.99200033044530e-02°)
1.83653834334832e+00	(6.26730380343547e+00dB,-3.98415395130211e-02°)
1.84077200146893e+00	(6.26730368751694e+00dB,-3.97632869255159e-02°)
1.84501541917945e+00	(6.26730357213063e+00dB,-3.96852451272658e-02°)
1.84926861897805e+00	(6.26730345727410e+00dB,-3.96074137047223e-02°)
1.85353162341478e+00	(6.26730334294489e+00dB,-3.95297922454343e-02°)
1.85780445509167e+00	(6.26730322914061e+00dB,-3.94523803380867e-02°)
1.86208713666284e+00	(6.26730311585882e+00dB,-3.93751775724573e-02°)
1.86637969083464e+00	(6.26730300309712e+00dB,-3.92981835394300e-02°)
1.87068214036577e+00	(6.26730289085314e+00dB,-3.92213978310117e-02°)
1.87499450806739e+00	(6.26730277912448e+00dB,-3.91448200402893e-02°)
1.87931681680324e+00	(6.26730266790877e+00dB,-3.90684497614664e-02°)
1.88364908948977e+00	(6.26730255720367e+00dB,-3.89922865898416e-02°)
1.88799134909627e+00	(6.26730244700681e+00dB,-3.89163301218083e-02°)
1.89234361864495e+00	(6.26730233731587e+00dB,-3.88405799548541e-02°)
1.89670592121112e+00	(6.26730222812852e+00dB,-3.87650356875575e-02°)
1.90107827992327e+00	(6.26730211944244e+00dB,-3.86896969195946e-02°)
1.90546071796322e+00	(6.26730201125532e+00dB,-3.86145632517204e-02°)
1.90985325856621e+00	(6.26730190356489e+00dB,-3.85396342857864e-02°)
1.91425592502106e+00	(6.26730179636884e+00dB,-3.84649096247177e-02°)
1.91866874067026e+00	(6.26730168966491e+00dB,-3.83903888725260e-02°)
1.92309172891013e+00	(6.26730158345084e+00dB,-3.83160716343035e-02°)
1.92752491319091e+00	(6.26730147772436e+00dB,-3.82419575162166e-02°)
1.93196831701689e+00	(6.26730137248325e+00dB,-3.81680461255185e-02°)
1.93642196394658e+00	(6.26730126772527e+00dB,-3.80943370705160e-02°)
1.94088587759275e+00	(6.26730116344820e+00dB,-3.80208299605981e-02°)
1.94536008162263e+00	(6.26730105964982e+00dB,-3.79475244062319e-02°)
1.94984459975802e+00	(6.26730095632794e+00dB,-3.78744200189350e-02°)
1.95433945577536e+00	(6.26730085348036e+00dB,-3.78015164113064e-02°)
1.95884467350596e+00	(6.26730075110491e+00dB,-3.77288131970054e-02°)
1.96336027683602e+00	(6.26730064919940e+00dB,-3.76563099907314e-02°)
1.96788628970681e+00	(6.26730054776169e+00dB,-3.75840064082621e-02°)
1.97242273611482e+00	(6.26730044678963e+00dB,-3.75119020664439e-02°)
1.97696964011183e+00	(6.26730034628106e+00dB,-3.74399965831574e-02°)
1.98152702580507e+00	(6.26730024623386e+00dB,-3.73682895773319e-02°)
1.98609491735734e+00	(6.26730014664591e+00dB,-3.72967806689783e-02°)
1.99067333898715e+00	(6.26730004751509e+00dB,-3.72254694791194e-02°)
1.99526231496885e+00	(6.26729994883930e+00dB,-3.71543556298509e-02°)
1.99986186963271e+00	(6.26729985061646e+00dB,-3.70834387443108e-02°)
2.00447202736513e+00	(6.26729975284448e+00dB,-3.70127184466651e-02°)
2.00909281260870e+00	(6.26729965552127e+00dB,-3.69421943621248e-02°)
2.01372424986236e+00	(6.26729955864479e+00dB,-3.68718661169621e-02°)
2.01836636368153e+00	(6.26729946221298e+00dB,-3.68017333384655e-02°)
2.02301917867824e+00	(6.26729936622379e+00dB,-3.67317956549570e-02°)
2.02768271952125e+00	(6.26729927067519e+00dB,-3.66620526958013e-02°)
2.03235701093619e+00	(6.26729917556514e+00dB,-3.65925040913974e-02°)
2.03704207770568e+00	(6.26729908089164e+00dB,-3.65231494731525e-02°)
2.04173794466950e+00	(6.26729898665268e+00dB,-3.64539884735307e-02°)
2.04644463672464e+00	(6.26729889284626e+00dB,-3.63850207260045e-02°)
2.05116217882553e+00	(6.26729879947038e+00dB,-3.63162458650660e-02°)
2.05589059598411e+00	(6.26729870652307e+00dB,-3.62476635262375e-02°)
2.06062991326997e+00	(6.26729861400236e+00dB,-3.61792733460598e-02°)
2.06538015581049e+00	(6.26729852190628e+00dB,-3.61110749620907e-02°)
2.07014134879101e+00	(6.26729843023289e+00dB,-3.60430680128986e-02°)
2.07491351745487e+00	(6.26729833898024e+00dB,-3.59752521380774e-02°)
2.07969668710366e+00	(6.26729824814639e+00dB,-3.59076269782259e-02°)
2.08449088309725e+00	(6.26729815772941e+00dB,-3.58401921749480e-02°)
2.08929613085400e+00	(6.26729806772740e+00dB,-3.57729473708621e-02°)
2.09411245585086e+00	(6.26729797813844e+00dB,-3.57058922095923e-02°)
2.09893988362349e+00	(6.26729788896064e+00dB,-3.56390263357665e-02°)
2.10377843976644e+00	(6.26729780019209e+00dB,-3.55723493950212e-02°)
2.10862814993325e+00	(6.26729771183092e+00dB,-3.55058610339751e-02°)
2.11348903983661e+00	(6.26729762387526e+00dB,-3.54395609002708e-02°)
2.11836113524847e+00	(6.26729753632324e+00dB,-3.53734486425274e-02°)
2.12324446200018e+00	(6.26729744917300e+00dB,-3.53075239103699e-02°)
2.12813904598267e+00	(6.26729736242270e+00dB,-3.52417863544089e-02°)
2.13304491314654e+00	(6.26729727607049e+00dB,-3.51762356262673e-02°)
2.13796208950219e+00	(6.26729719011455e+00dB,-3.51108713785234e-02°)
2.14289060112002e+00	(6.26729710455305e+00dB,-3.50456932647611e-02°)
2.14783047413050e+00	(6.26729701938418e+00dB,-3.49807009395677e-02°)
2.15278173472433e+00	(6.26729693460614e+00dB,-3.49158940584762e-02°)
2.15774440915263e+00	(6.26729685021711e+00dB,-3.48512722780466e-02°)
2.16271852372698e+00	(6.26729676621532e+00dB,-3.47868352557721e-02°)
2.16770410481966e+00	(6.26729668259898e+00dB,-3.47225826501576e-02°)
2.17270117886371e+00	(6.26729659936633e+00dB,-3.46585141206795e-02°)
2.17770977235312e+00	(6.26729651651559e+00dB,-3.45946293277791e-02°)
2.18272991184296e+00	(6.26729643404500e+00dB,-3.45309279328707e-02°)
2.18776162394951e+00	(6.26729635195284e+00dB,-3.44674095983646e-02°)
2.19280493535041e+00	(6.26729627023733e+00dB,-3.44040739876062e-02°)
2.19785987278478e+00	(6.26729618889676e+00dB,-3.43409207649375e-02°)
2.20292646305342e+00	(6.26729610792941e+00dB,-3.42779495956363e-02°)
2.20800473301886e+00	(6.26729602733355e+00dB,-3.42151601459755e-02°)
2.21309470960560e+00	(6.26729594710747e+00dB,-3.41525520831830e-02°)
2.21819641980018e+00	(6.26729586724948e+00dB,-3.40901250754260e-02°)
2.22330989065136e+00	(6.26729578775788e+00dB,-3.40278787918547e-02°)
2.22843514927026e+00	(6.26729570863099e+00dB,-3.39658129025674e-02°)
2.23357222283049e+00	(6.26729562986712e+00dB,-3.39039270786227e-02°)
2.23872113856830e+00	(6.26729555146462e+00dB,-3.38422209920295e-02°)
2.24388192378272e+00	(6.26729547342180e+00dB,-3.37806943157427e-02°)
2.24905460583574e+00	(6.26729539573703e+00dB,-3.37193467236797e-02°)
2.25423921215239e+00	(6.26729531840865e+00dB,-3.36581778906943e-02°)
2.25943577022093e+00	(6.26729524143502e+00dB,-3.35971874926024e-02°)
2.26464430759302e+00	(6.26729516481451e+00dB,-3.35363752061481e-02°)
2.26986485188378e+00	(6.26729508854550e+00dB,-3.34757407090338e-02°)
