Freq.	V(9)/I(RDC_9_10)
1.09144033644875e+01	(-3.35517338296615e+01dB,1.71242752260526e+00°)
1.09395636627209e+01	(-3.35517159271494e+01dB,1.71637271694488e+00°)
1.09647819614318e+01	(-3.35516979420954e+01dB,1.72032698956168e+00°)
1.09900583943252e+01	(-3.35516798740918e+01dB,1.72429036126477e+00°)
1.10153930954141e+01	(-3.35516617227568e+01dB,1.72826285291586e+00°)
1.10407861990207e+01	(-3.35516434877299e+01dB,1.73224448542855e+00°)
1.10662378397766e+01	(-3.35516251686096e+01dB,1.73623527975609e+00°)
1.10917481526240e+01	(-3.35516067649997e+01dB,1.74023525690061e+00°)
1.11173172728159e+01	(-3.35515882765343e+01dB,1.74424443791826e+00°)
1.11429453359173e+01	(-3.35515697028043e+01dB,1.74826284390466e+00°)
1.11686324778056e+01	(-3.35515510434151e+01dB,1.75229049600646e+00°)
1.11943788346715e+01	(-3.35515322979884e+01dB,1.75632741542193e+00°)
1.12201845430196e+01	(-3.35515134661144e+01dB,1.76037362339137e+00°)
1.12460497396692e+01	(-3.35514945474044e+01dB,1.76442914120786e+00°)
1.12719745617551e+01	(-3.35514755414335e+01dB,1.76849399020573e+00°)
1.12979591467279e+01	(-3.35514564478321e+01dB,1.77256819177931e+00°)
1.13240036323555e+01	(-3.35514372661854e+01dB,1.77665176736252e+00°)
1.13501081567231e+01	(-3.35514179960813e+01dB,1.78074473843879e+00°)
1.13762728582343e+01	(-3.35513986371173e+01dB,1.78484712654253e+00°)
1.14024978756117e+01	(-3.35513791888866e+01dB,1.78895895325649e+00°)
1.14287833478977e+01	(-3.35513596509693e+01dB,1.79308024020990e+00°)
1.14551294144553e+01	(-3.35513400229616e+01dB,1.79721100908478e+00°)
1.14815362149688e+01	(-3.35513203044444e+01dB,1.80135128160941e+00°)
1.15080038894443e+01	(-3.35513004950034e+01dB,1.80550107956267e+00°)
1.15345325782109e+01	(-3.35512805942087e+01dB,1.80966042476991e+00°)
1.15611224219209e+01	(-3.35512606016490e+01dB,1.81382933911017e+00°)
1.15877735615512e+01	(-3.35512405168973e+01dB,1.81800784450914e+00°)
1.16144861384034e+01	(-3.35512203395433e+01dB,1.82219596294599e+00°)
1.16412602941049e+01	(-3.35512000691491e+01dB,1.82639371644436e+00°)
1.16680961706096e+01	(-3.35511797052843e+01dB,1.83060112707964e+00°)
1.16949939101987e+01	(-3.35511592475187e+01dB,1.83481821697765e+00°)
1.17219536554813e+01	(-3.35511386954202e+01dB,1.83904500831427e+00°)
1.17489755493953e+01	(-3.35511180485593e+01dB,1.84328152331655e+00°)
1.17760597352080e+01	(-3.35510973064839e+01dB,1.84752778425743e+00°)
1.18032063565173e+01	(-3.35510764687785e+01dB,1.85178381346850e+00°)
1.18304155572516e+01	(-3.35510555349895e+01dB,1.85604963332408e+00°)
1.18576874816716e+01	(-3.35510345046701e+01dB,1.86032526625102e+00°)
1.18850222743701e+01	(-3.35510133773967e+01dB,1.86461073473232e+00°)
1.19124200802737e+01	(-3.35509921526864e+01dB,1.86890606128950e+00°)
1.19398810446427e+01	(-3.35509708301298e+01dB,1.87321126851127e+00°)
1.19674053130724e+01	(-3.35509494092492e+01dB,1.87752637902309e+00°)
1.19949930314937e+01	(-3.35509278896036e+01dB,1.88185141550998e+00°)
1.20226443461741e+01	(-3.35509062707361e+01dB,1.88618640070527e+00°)
1.20503594037179e+01	(-3.35508845521880e+01dB,1.89053135739367e+00°)
1.20781383510677e+01	(-3.35508627335005e+01dB,1.89488630841188e+00°)
1.21059813355048e+01	(-3.35508408142060e+01dB,1.89925127664669e+00°)
1.21338885046497e+01	(-3.35508187938530e+01dB,1.90362628504064e+00°)
1.21618600064636e+01	(-3.35507966719742e+01dB,1.90801135658508e+00°)
1.21898959892486e+01	(-3.35507744481001e+01dB,1.91240651432331e+00°)
1.22179966016487e+01	(-3.35507521217569e+01dB,1.91681178135017e+00°)
1.22461619926504e+01	(-3.35507296924753e+01dB,1.92122718081420e+00°)
1.22743923115840e+01	(-3.35507071597795e+01dB,1.92565273591519e+00°)
1.23026877081238e+01	(-3.35506845231959e+01dB,1.93008846990633e+00°)
1.23310483322890e+01	(-3.35506617822464e+01dB,1.93453440609284e+00°)
1.23594743344450e+01	(-3.35506389364533e+01dB,1.93899056783304e+00°)
1.23879658653036e+01	(-3.35506159853272e+01dB,1.94345697853597e+00°)
1.24165230759240e+01	(-3.35505929283903e+01dB,1.94793366166657e+00°)
1.24451461177138e+01	(-3.35505697651444e+01dB,1.95242064073865e+00°)
1.24738351424294e+01	(-3.35505464951049e+01dB,1.95691793932266e+00°)
1.25025903021771e+01	(-3.35505231177737e+01dB,1.96142558103970e+00°)
1.25314117494141e+01	(-3.35504996326801e+01dB,1.96594358957088e+00°)
1.25602996369487e+01	(-3.35504760393098e+01dB,1.97047198864142e+00°)
1.25892541179416e+01	(-3.35504523371603e+01dB,1.97501080203319e+00°)
1.26182753459066e+01	(-3.35504285257492e+01dB,1.97956005358690e+00°)
1.26473634747114e+01	(-3.35504046045443e+01dB,1.98411976718608e+00°)
1.26765186585784e+01	(-3.35503805730679e+01dB,1.98868996678121e+00°)
1.27057410520853e+01	(-3.35503564307966e+01dB,1.99327067636681e+00°)
1.27350308101665e+01	(-3.35503321772231e+01dB,1.99786191999573e+00°)
1.27643880881134e+01	(-3.35503078118376e+01dB,2.00246372177503e+00°)
1.27938130415752e+01	(-3.35502833341235e+01dB,2.00707610586508e+00°)
1.28233058265601e+01	(-3.35502587435708e+01dB,2.01169909648282e+00°)
1.28528665994361e+01	(-3.35502340396491e+01dB,2.01633271789556e+00°)
1.28824955169313e+01	(-3.35502092218367e+01dB,2.02097699442791e+00°)
1.29121927361353e+01	(-3.35501842896214e+01dB,2.02563195046200e+00°)
1.29419584144998e+01	(-3.35501592424653e+01dB,2.03029761042956e+00°)
1.29717927098395e+01	(-3.35501340798352e+01dB,2.03497399881895e+00°)
1.30016957803328e+01	(-3.35501088012113e+01dB,2.03966114017746e+00°)
1.30316677845229e+01	(-3.35500834060555e+01dB,2.04435905910393e+00°)
1.30617088813183e+01	(-3.35500578938386e+01dB,2.04906778025526e+00°)
1.30918192299940e+01	(-3.35500322639970e+01dB,2.05378732833638e+00°)
1.31219989901919e+01	(-3.35500065160218e+01dB,2.05851772812131e+00°)
1.31522483219223e+01	(-3.35499806493373e+01dB,2.06325900442472e+00°)
1.31825673855640e+01	(-3.35499546634321e+01dB,2.06801118213288e+00°)
1.32129563418657e+01	(-3.35499285577234e+01dB,2.07277428617176e+00°)
1.32434153519466e+01	(-3.35499023316715e+01dB,2.07754834153432e+00°)
1.32739445772973e+01	(-3.35498759847391e+01dB,2.08233337327090e+00°)
1.33045441797808e+01	(-3.35498495163472e+01dB,2.08712940647888e+00°)
1.33352143216332e+01	(-3.35498229259441e+01dB,2.09193646631924e+00°)
1.33659551654643e+01	(-3.35497962129709e+01dB,2.09675457800847e+00°)
1.33967668742593e+01	(-3.35497693768570e+01dB,2.10158376681760e+00°)
1.34276496113785e+01	(-3.35497424170498e+01dB,2.10642405807944e+00°)
1.34586035405594e+01	(-3.35497153329690e+01dB,2.11127547717774e+00°)
1.34896288259164e+01	(-3.35496881240406e+01dB,2.11613804955549e+00°)
1.35207256319427e+01	(-3.35496607896952e+01dB,2.12101180071460e+00°)
1.35518941235103e+01	(-3.35496333293446e+01dB,2.12589675621038e+00°)
1.35831344658714e+01	(-3.35496057424229e+01dB,2.13079294166177e+00°)
1.36144468246594e+01	(-3.35495780283435e+01dB,2.13570038274079e+00°)
1.36458313658891e+01	(-3.35495501865262e+01dB,2.14061910517941e+00°)
1.36772882559584e+01	(-3.35495222163676e+01dB,2.14554913476238e+00°)
1.37088176616484e+01	(-3.35494941172843e+01dB,2.15049049733798e+00°)
1.37404197501250e+01	(-3.35494658886972e+01dB,2.15544321881430e+00°)
1.37720946889394e+01	(-3.35494375299833e+01dB,2.16040732514741e+00°)
1.38038426460287e+01	(-3.35494090405694e+01dB,2.16538284236476e+00°)
1.38356637897177e+01	(-3.35493804198293e+01dB,2.17036979653971e+00°)
1.38675582887188e+01	(-3.35493516671843e+01dB,2.17536821381674e+00°)
1.38995263121334e+01	(-3.35493227820027e+01dB,2.18037812038643e+00°)
1.39315680294529e+01	(-3.35492937637048e+01dB,2.18539954251194e+00°)
1.39636836105593e+01	(-3.35492646116396e+01dB,2.19043250649812e+00°)
1.39958732257261e+01	(-3.35492353252287e+01dB,2.19547703872790e+00°)
1.40281370456195e+01	(-3.35492059038291e+01dB,2.20053316562780e+00°)
1.40604752412990e+01	(-3.35491763468362e+01dB,2.20560091369408e+00°)
1.40928879842186e+01	(-3.35491466535944e+01dB,2.21068030947023e+00°)
1.41253754462274e+01	(-3.35491168235187e+01dB,2.21577137957791e+00°)
1.41579377995707e+01	(-3.35490868559500e+01dB,2.22087415068044e+00°)
1.41905752168908e+01	(-3.35490567502676e+01dB,2.22598864951144e+00°)
1.42232878712281e+01	(-3.35490265058367e+01dB,2.23111490286155e+00°)
1.42560759360218e+01	(-3.35489961220214e+01dB,2.23625293758209e+00°)
1.42889395851109e+01	(-3.35489655981696e+01dB,2.24140278058101e+00°)
1.43218789927353e+01	(-3.35489349336420e+01dB,2.24656445883073e+00°)
1.43548943335364e+01	(-3.35489041277873e+01dB,2.25173799936174e+00°)
1.43879857825583e+01	(-3.35488731799558e+01dB,2.25692342926630e+00°)
1.44211535152486e+01	(-3.35488420895109e+01dB,2.26212077570152e+00°)
1.44543977074592e+01	(-3.35488108557693e+01dB,2.26733006587408e+00°)
1.44877185354475e+01	(-3.35487794780998e+01dB,2.27255132706589e+00°)
1.45211161758773e+01	(-3.35487479558157e+01dB,2.27778458660622e+00°)
1.45545908058195e+01	(-3.35487162882680e+01dB,2.28302987189633e+00°)
1.45881426027534e+01	(-3.35486844747800e+01dB,2.28828721039223e+00°)
1.46217717445671e+01	(-3.35486525146829e+01dB,2.29355662961442e+00°)
1.46554784095590e+01	(-3.35486204072961e+01dB,2.29883815714257e+00°)
1.46892627764385e+01	(-3.35485881519470e+01dB,2.30413182062111e+00°)
1.47231250243271e+01	(-3.35485557479647e+01dB,2.30943764775758e+00°)
1.47570653327588e+01	(-3.35485231946431e+01dB,2.31475566631298e+00°)
1.47910838816819e+01	(-3.35484904913209e+01dB,2.32008590412321e+00°)
1.48251808514594e+01	(-3.35484576372858e+01dB,2.32542838907364e+00°)
1.48593564228699e+01	(-3.35484246318632e+01dB,2.33078314912301e+00°)
1.48936107771090e+01	(-3.35483914743323e+01dB,2.33615021228093e+00°)
1.49279440957898e+01	(-3.35483581640191e+01dB,2.34152960663317e+00°)
1.49623565609442e+01	(-3.35483247002098e+01dB,2.34692136031844e+00°)
1.49968483550236e+01	(-3.35482910821923e+01dB,2.35232550153958e+00°)
1.50314196609001e+01	(-3.35482573092759e+01dB,2.35774205856928e+00°)
1.50660706618673e+01	(-3.35482233807237e+01dB,2.36317105973162e+00°)
1.51008015416413e+01	(-3.35481892958249e+01dB,2.36861253342202e+00°)
1.51356124843619e+01	(-3.35481550538794e+01dB,2.37406650810313e+00°)
1.51705036745932e+01	(-3.35481206541447e+01dB,2.37953301229054e+00°)
1.52054752973248e+01	(-3.35480860959094e+01dB,2.38501207457291e+00°)
1.52405275379728e+01	(-3.35480513784384e+01dB,2.39050372359712e+00°)
1.52756605823806e+01	(-3.35480165009882e+01dB,2.39600798807271e+00°)
1.53108746168201e+01	(-3.35479814628399e+01dB,2.40152489678090e+00°)
1.53461698279928e+01	(-3.35479462632480e+01dB,2.40705447856085e+00°)
1.53815464030302e+01	(-3.35479109014708e+01dB,2.41259676231796e+00°)
1.54170045294954e+01	(-3.35478753767513e+01dB,2.41815177701895e+00°)
1.54525443953840e+01	(-3.35478396883571e+01dB,2.42371955170281e+00°)
1.54881661891247e+01	(-3.35478038355267e+01dB,2.42930011546632e+00°)
1.55238700995807e+01	(-3.35477678175046e+01dB,2.43489349747366e+00°)
1.55596563160506e+01	(-3.35477316335272e+01dB,2.44049972695281e+00°)
1.55955250282694e+01	(-3.35476952828457e+01dB,2.44611883320204e+00°)
1.56314764264094e+01	(-3.35476587646781e+01dB,2.45175084557656e+00°)
1.56675107010813e+01	(-3.35476220782640e+01dB,2.45739579350413e+00°)
1.57036280433354e+01	(-3.35475852228189e+01dB,2.46305370647226e+00°)
1.57398286446620e+01	(-3.35475481975731e+01dB,2.46872461403934e+00°)
1.57761126969933e+01	(-3.35475110017464e+01dB,2.47440854582769e+00°)
1.58124803927037e+01	(-3.35474736345505e+01dB,2.48010553152428e+00°)
1.58489319246110e+01	(-3.35474360952051e+01dB,2.48581560088549e+00°)
1.58854674859776e+01	(-3.35473983829053e+01dB,2.49153878372807e+00°)
1.59220872705115e+01	(-3.35473604968706e+01dB,2.49727510994302e+00°)
1.59587914723672e+01	(-3.35473224362865e+01dB,2.50302460947932e+00°)
1.59955802861465e+01	(-3.35472842003651e+01dB,2.50878731236120e+00°)
1.60324539069002e+01	(-3.35472457882824e+01dB,2.51456324867043e+00°)
1.60694125301286e+01	(-3.35472071992477e+01dB,2.52035244856632e+00°)
1.61064563517825e+01	(-3.35471684324411e+01dB,2.52615494226798e+00°)
1.61435855682647e+01	(-3.35471294870460e+01dB,2.53197076006372e+00°)
1.61808003764305e+01	(-3.35470903622352e+01dB,2.53779993230722e+00°)
1.62181009735891e+01	(-3.35470510571753e+01dB,2.54364248941896e+00°)
1.62554875575047e+01	(-3.35470115710706e+01dB,2.54949846189911e+00°)
1.62929603263970e+01	(-3.35469719030527e+01dB,2.55536788029551e+00°)
1.63305194789432e+01	(-3.35469320523136e+01dB,2.56125077524272e+00°)
1.63681652142779e+01	(-3.35468920179865e+01dB,2.56714717742717e+00°)
1.64058977319952e+01	(-3.35468517992488e+01dB,2.57305711761766e+00°)
1.64437172321491e+01	(-3.35468113952444e+01dB,2.57898062664254e+00°)
1.64816239152549e+01	(-3.35467708051199e+01dB,2.58491773540065e+00°)
1.65196179822900e+01	(-3.35467300280208e+01dB,2.59086847486012e+00°)
1.65576996346951e+01	(-3.35466890630904e+01dB,2.59683287605851e+00°)
1.65958690743754e+01	(-3.35466479094662e+01dB,2.60281097010159e+00°)
1.66341265037015e+01	(-3.35466065662724e+01dB,2.60880278816141e+00°)
1.66724721255104e+01	(-3.35465650326476e+01dB,2.61480836148468e+00°)
1.67109061431069e+01	(-3.35465233077081e+01dB,2.62082772138194e+00°)
1.67494287602642e+01	(-3.35464813905845e+01dB,2.62686089923868e+00°)
1.67880401812254e+01	(-3.35464392803851e+01dB,2.63290792650446e+00°)
1.68267406107045e+01	(-3.35463969762301e+01dB,2.63896883470342e+00°)
1.68655302538872e+01	(-3.35463544772082e+01dB,2.64504365542125e+00°)
1.69044093164324e+01	(-3.35463117824477e+01dB,2.65113242032686e+00°)
1.69433780044731e+01	(-3.35462688910427e+01dB,2.65723516115027e+00°)
1.69824365246172e+01	(-3.35462258020859e+01dB,2.66335190969254e+00°)
1.70215850839493e+01	(-3.35461825146722e+01dB,2.66948269782721e+00°)
1.70608238900310e+01	(-3.35461390278838e+01dB,2.67562755749566e+00°)
1.71001531509027e+01	(-3.35460953408028e+01dB,2.68178652071134e+00°)
1.71395730750840e+01	(-3.35460514525120e+01dB,2.68795961956002e+00°)
1.71790838715757e+01	(-3.35460073621035e+01dB,2.69414688620276e+00°)
1.72186857498599e+01	(-3.35459630686265e+01dB,2.70034835285970e+00°)
1.72583789199018e+01	(-3.35459185711442e+01dB,2.70656405182797e+00°)
1.72981635921508e+01	(-3.35458738687451e+01dB,2.71279401548538e+00°)
1.73380399775412e+01	(-3.35458289604701e+01dB,2.71903827626785e+00°)
1.73780082874935e+01	(-3.35457838453696e+01dB,2.72529686668726e+00°)
1.74180687339159e+01	(-3.35457385225031e+01dB,2.73156981933168e+00°)
1.74582215292048e+01	(-3.35456929909079e+01dB,2.73785716685547e+00°)
1.74984668862463e+01	(-3.35456472496348e+01dB,2.74415894199092e+00°)
1.75388050184174e+01	(-3.35456012977077e+01dB,2.75047517753542e+00°)
1.75792361395867e+01	(-3.35455551341686e+01dB,2.75680590636604e+00°)
1.76197604641161e+01	(-3.35455087580441e+01dB,2.76315116142886e+00°)
1.76603782068614e+01	(-3.35454621683491e+01dB,2.76951097574049e+00°)
1.77010895831740e+01	(-3.35454153641216e+01dB,2.77588538239923e+00°)
1.77418948089014e+01	(-3.35453683443541e+01dB,2.78227441456324e+00°)
1.77827941003890e+01	(-3.35453211080688e+01dB,2.78867810547486e+00°)
1.78237876744807e+01	(-3.35452736542649e+01dB,2.79509648844389e+00°)
1.78648757485203e+01	(-3.35452259819556e+01dB,2.80152959685951e+00°)
1.79060585403527e+01	(-3.35451780901244e+01dB,2.80797746417642e+00°)
1.79473362683250e+01	(-3.35451299777545e+01dB,2.81444012392455e+00°)
1.79887091512876e+01	(-3.35450816438501e+01dB,2.82091760971589e+00°)
1.80301774085954e+01	(-3.35450330874011e+01dB,2.82740995523359e+00°)
1.80717412601090e+01	(-3.35449843073588e+01dB,2.83391719422382e+00°)
1.81134009261958e+01	(-3.35449353027110e+01dB,2.84043936052051e+00°)
1.81551566277311e+01	(-3.35448860724383e+01dB,2.84697648803140e+00°)
1.81970085860996e+01	(-3.35448366154780e+01dB,2.85352861072617e+00°)
1.82389570231961e+01	(-3.35447869308104e+01dB,2.86009576266500e+00°)
1.82810021614272e+01	(-3.35447370173632e+01dB,2.86667797796728e+00°)
1.83231442237119e+01	(-3.35446868741233e+01dB,2.87327529084858e+00°)
1.83653834334832e+01	(-3.35446364999997e+01dB,2.87988773557561e+00°)
1.84077200146893e+01	(-3.35445858939674e+01dB,2.88651534651389e+00°)
1.84501541917945e+01	(-3.35445350549235e+01dB,2.89315815808026e+00°)
1.84926861897805e+01	(-3.35444839818239e+01dB,2.89981620478850e+00°)
1.85353162341478e+01	(-3.35444326735927e+01dB,2.90648952121913e+00°)
1.85780445509167e+01	(-3.35443811291281e+01dB,2.91317814202180e+00°)
1.86208713666284e+01	(-3.35443293473648e+01dB,2.91988210193605e+00°)
1.86637969083464e+01	(-3.35442773272163e+01dB,2.92660143577238e+00°)
1.87068214036577e+01	(-3.35442250675891e+01dB,2.93333617841699e+00°)
1.87499450806739e+01	(-3.35441725673571e+01dB,2.94008636482339e+00°)
1.87931681680324e+01	(-3.35441198254509e+01dB,2.94685203004271e+00°)
1.88364908948977e+01	(-3.35440668407344e+01dB,2.95363320918209e+00°)
1.88799134909627e+01	(-3.35440136121008e+01dB,2.96042993743733e+00°)
1.89234361864495e+01	(-3.35439601384313e+01dB,2.96724225007910e+00°)
1.89670592121112e+01	(-3.35439064186109e+01dB,2.97407018245858e+00°)
1.90107827992327e+01	(-3.35438524514970e+01dB,2.98091376999662e+00°)
1.90546071796322e+01	(-3.35437982359529e+01dB,2.98777304819564e+00°)
1.90985325856621e+01	(-3.35437437708463e+01dB,2.99464805263898e+00°)
1.91425592502106e+01	(-3.35436890550256e+01dB,3.00153881898325e+00°)
1.91866874067026e+01	(-3.35436340873432e+01dB,3.00844538296633e+00°)
1.92309172891013e+01	(-3.35435788666464e+01dB,3.01536778040433e+00°)
1.92752491319091e+01	(-3.35435233917566e+01dB,3.02230604718466e+00°)
1.93196831701689e+01	(-3.35434676615354e+01dB,3.02926021928918e+00°)
1.93642196394658e+01	(-3.35434116747892e+01dB,3.03623033276098e+00°)
1.94088587759275e+01	(-3.35433554303506e+01dB,3.04321642373315e+00°)
1.94536008162263e+01	(-3.35432989270266e+01dB,3.05021852841063e+00°)
1.94984459975802e+01	(-3.35432421636325e+01dB,3.05723668308234e+00°)
1.95433945577536e+01	(-3.35431851389825e+01dB,3.06427092411812e+00°)
1.95884467350596e+01	(-3.35431278518788e+01dB,3.07132128796492e+00°)
1.96336027683602e+01	(-3.35430703011019e+01dB,3.07838781114366e+00°)
1.96788628970681e+01	(-3.35430124854499e+01dB,3.08547053026311e+00°)
1.97242273611482e+01	(-3.35429544037037e+01dB,3.09256948200795e+00°)
1.97696964011183e+01	(-3.35428960546662e+01dB,3.09968470315273e+00°)
1.98152702580507e+01	(-3.35428374370799e+01dB,3.10681623053271e+00°)
1.98609491735734e+01	(-3.35427785497184e+01dB,3.11396410107657e+00°)
1.99067333898715e+01	(-3.35427193913494e+01dB,3.12112835179355e+00°)
1.99526231496885e+01	(-3.35426599607329e+01dB,3.12830901977284e+00°)
1.99986186963271e+01	(-3.35426002566186e+01dB,3.13550614218282e+00°)
2.00447202736513e+01	(-3.35425402777413e+01dB,3.14271975626959e+00°)
2.00909281260870e+01	(-3.35424800228577e+01dB,3.14994989937037e+00°)
2.01372424986236e+01	(-3.35424194906956e+01dB,3.15719660889544e+00°)
2.01836636368153e+01	(-3.35423586799681e+01dB,3.16445992233321e+00°)
2.02301917867824e+01	(-3.35422975894100e+01dB,3.17173987726371e+00°)
2.02768271952125e+01	(-3.35422362177364e+01dB,3.17903651134381e+00°)
2.03235701093619e+01	(-3.35421745636633e+01dB,3.18634986231482e+00°)
2.03704207770568e+01	(-3.35421126258784e+01dB,3.19367996799179e+00°)
2.04173794466950e+01	(-3.35420504031019e+01dB,3.20102686628630e+00°)
2.04644463672464e+01	(-3.35419878940072e+01dB,3.20839059517721e+00°)
2.05116217882553e+01	(-3.35419250972960e+01dB,3.21577119273863e+00°)
2.05589059598411e+01	(-3.35418620116478e+01dB,3.22316869712146e+00°)
2.06062991326997e+01	(-3.35417986357113e+01dB,3.23058314655018e+00°)
2.06538015581049e+01	(-3.35417349681907e+01dB,3.23801457935521e+00°)
2.07014134879101e+01	(-3.35416710077360e+01dB,3.24546303393238e+00°)
2.07491351745487e+01	(-3.35416067530005e+01dB,3.25292854876425e+00°)
2.07969668710366e+01	(-3.35415422026336e+01dB,3.26041116241775e+00°)
2.08449088309725e+01	(-3.35414773552808e+01dB,3.26791091354433e+00°)
2.08929613085400e+01	(-3.35414122095836e+01dB,3.27542784088014e+00°)
2.09411245585086e+01	(-3.35413467641707e+01dB,3.28296198324276e+00°)
2.09893988362349e+01	(-3.35412810176621e+01dB,3.29051337953301e+00°)
2.10377843976644e+01	(-3.35412149686945e+01dB,3.29808206874469e+00°)
2.10862814993325e+01	(-3.35411486158663e+01dB,3.30566808994393e+00°)
2.11348903983661e+01	(-3.35410819577832e+01dB,3.31327148228668e+00°)
2.11836113524847e+01	(-3.35410149930630e+01dB,3.32089228502063e+00°)
2.12324446200018e+01	(-3.35409477202713e+01dB,3.32853053746097e+00°)
2.12813904598267e+01	(-3.35408801380177e+01dB,3.33618627902717e+00°)
2.13304491314654e+01	(-3.35408122448801e+01dB,3.34385954921436e+00°)
2.13796208950219e+01	(-3.35407440394346e+01dB,3.35155038760484e+00°)
2.14289060112002e+01	(-3.35406755202417e+01dB,3.35925883386294e+00°)
2.14783047413050e+01	(-3.35406066858644e+01dB,3.36698492774222e+00°)
2.15278173472433e+01	(-3.35405375348617e+01dB,3.37472870908303e+00°)
2.15774440915263e+01	(-3.35404680657881e+01dB,3.38249021781266e+00°)
2.16271852372698e+01	(-3.35403982771708e+01dB,3.39026949393658e+00°)
2.16770410481966e+01	(-3.35403281675514e+01dB,3.39806657755465e+00°)
2.17270117886371e+01	(-3.35402577354644e+01dB,3.40588150885323e+00°)
2.17770977235312e+01	(-3.35401869794263e+01dB,3.41371432810091e+00°)
2.18272991184296e+01	(-3.35401158979540e+01dB,3.42156507565579e+00°)
2.18776162394951e+01	(-3.35400444895549e+01dB,3.42943379196207e+00°)
2.19280493535041e+01	(-3.35399727527347e+01dB,3.43732051755292e+00°)
2.19785987278478e+01	(-3.35399006859895e+01dB,3.44522529304790e+00°)
2.20292646305342e+01	(-3.35398282877975e+01dB,3.45314815914954e+00°)
2.20800473301886e+01	(-3.35397555566505e+01dB,3.46108915665616e+00°)
2.21309470960560e+01	(-3.35396824910082e+01dB,3.46904832644384e+00°)
2.21819641980018e+01	(-3.35396090893554e+01dB,3.47702570948939e+00°)
2.22330989065136e+01	(-3.35395353501425e+01dB,3.48502134684680e+00°)
2.22843514927026e+01	(-3.35394612718266e+01dB,3.49303527966379e+00°)
2.23357222283049e+01	(-3.35393868528534e+01dB,3.50106754917470e+00°)
2.23872113856830e+01	(-3.35393120916634e+01dB,3.50911819670336e+00°)
2.24388192378272e+01	(-3.35392369866859e+01dB,3.51718726366054e+00°)
2.24905460583574e+01	(-3.35391615363429e+01dB,3.52527479154587e+00°)
2.25423921215239e+01	(-3.35390857390650e+01dB,3.53338082195458e+00°)
2.25943577022094e+01	(-3.35390095932555e+01dB,3.54150539656277e+00°)
2.26464430759302e+01	(-3.35389330973147e+01dB,3.54964855713780e+00°)
2.26986485188378e+01	(-3.35388562496336e+01dB,3.55781034553560e+00°)
