Freq.	V(5)/I(RDC_56)
1.11943788346715e+01	(-2.08178528365878e+01dB,9.98535876881319e-01°)
1.12201845430196e+01	(-2.08178467478266e+01dB,1.00083727203413e+00°)
1.12460497396692e+01	(-2.08178406309688e+01dB,1.00314396920893e+00°)
1.12719745617551e+01	(-2.08178344858853e+01dB,1.00545598060574e+00°)
1.12979591467279e+01	(-2.08178283124473e+01dB,1.00777331845267e+00°)
1.13240036323555e+01	(-2.08178221105234e+01dB,1.01009599500562e+00°)
1.13501081567231e+01	(-2.08178158799797e+01dB,1.01242402254833e+00°)
1.13762728582343e+01	(-2.08178096206872e+01dB,1.01475741339339e+00°)
1.14024978756117e+01	(-2.08178033325122e+01dB,1.01709617988110e+00°)
1.14287833478977e+01	(-2.08177970153220e+01dB,1.01944033438025e+00°)
1.14551294144553e+01	(-2.08177906689816e+01dB,1.02178988928779e+00°)
1.14815362149688e+01	(-2.08177842933582e+01dB,1.02414485702939e+00°)
1.15080038894443e+01	(-2.08177778883134e+01dB,1.02650525005865e+00°)
1.15345325782109e+01	(-2.08177714537148e+01dB,1.02887108085845e+00°)
1.15611224219209e+01	(-2.08177649894238e+01dB,1.03124236193966e+00°)
1.15877735615512e+01	(-2.08177584953082e+01dB,1.03361910584264e+00°)
1.16144861384034e+01	(-2.08177519712235e+01dB,1.03600132513511e+00°)
1.16412602941049e+01	(-2.08177454170374e+01dB,1.03838903241510e+00°)
1.16680961706096e+01	(-2.08177388326068e+01dB,1.04078224030830e+00°)
1.16949939101987e+01	(-2.08177322177957e+01dB,1.04318096147029e+00°)
1.17219536554813e+01	(-2.08177255724599e+01dB,1.04558520858472e+00°)
1.17489755493953e+01	(-2.08177188964617e+01dB,1.04799499436516e+00°)
1.17760597352080e+01	(-2.08177121896591e+01dB,1.05041033155388e+00°)
1.18032063565173e+01	(-2.08177054519106e+01dB,1.05283123292248e+00°)
1.18304155572516e+01	(-2.08176986830719e+01dB,1.05525771127157e+00°)
1.18576874816716e+01	(-2.08176918829985e+01dB,1.05768977943114e+00°)
1.18850222743701e+01	(-2.08176850515495e+01dB,1.06012745026109e+00°)
1.19124200802737e+01	(-2.08176781885797e+01dB,1.06257073665034e+00°)
1.19398810446427e+01	(-2.08176712939436e+01dB,1.06501965151741e+00°)
1.19674053130724e+01	(-2.08176643674916e+01dB,1.06747420780995e+00°)
1.19949930314937e+01	(-2.08176574090790e+01dB,1.06993441850598e+00°)
1.20226443461741e+01	(-2.08176504185617e+01dB,1.07240029661340e+00°)
1.20503594037179e+01	(-2.08176433957893e+01dB,1.07487185516924e+00°)
1.20781383510677e+01	(-2.08176363406111e+01dB,1.07734910724041e+00°)
1.21059813355048e+01	(-2.08176292528803e+01dB,1.07983206592432e+00°)
1.21338885046497e+01	(-2.08176221324446e+01dB,1.08232074434779e+00°)
1.21618600064636e+01	(-2.08176149791547e+01dB,1.08481515566820e+00°)
1.21898959892486e+01	(-2.08176077928567e+01dB,1.08731531307249e+00°)
1.22179966016487e+01	(-2.08176005734035e+01dB,1.08982122977884e+00°)
1.22461619926504e+01	(-2.08175933206369e+01dB,1.09233291903435e+00°)
1.22743923115840e+01	(-2.08175860344055e+01dB,1.09485039411739e+00°)
1.23026877081238e+01	(-2.08175787145555e+01dB,1.09737366833655e+00°)
1.23310483322890e+01	(-2.08175713609313e+01dB,1.09990275503076e+00°)
1.23594743344450e+01	(-2.08175639733751e+01dB,1.10243766756929e+00°)
1.23879658653036e+01	(-2.08175565517337e+01dB,1.10497841935271e+00°)
1.24165230759240e+01	(-2.08175490958461e+01dB,1.10752502381138e+00°)
1.24451461177138e+01	(-2.08175416055582e+01dB,1.11007749440738e+00°)
1.24738351424294e+01	(-2.08175340807114e+01dB,1.11263584463311e+00°)
1.25025903021771e+01	(-2.08175265211421e+01dB,1.11520008801136e+00°)
1.25314117494141e+01	(-2.08175189266945e+01dB,1.11777023809694e+00°)
1.25602996369487e+01	(-2.08175112972041e+01dB,1.12034630847469e+00°)
1.25892541179416e+01	(-2.08175036325114e+01dB,1.12292831276127e+00°)
1.26182753459066e+01	(-2.08174959324557e+01dB,1.12551626460449e+00°)
1.26473634747114e+01	(-2.08174881968688e+01dB,1.12811017768248e+00°)
1.26765186585784e+01	(-2.08174804255921e+01dB,1.13071006570606e+00°)
1.27057410520853e+01	(-2.08174726184574e+01dB,1.13331594241628e+00°)
1.27350308101665e+01	(-2.08174647753025e+01dB,1.13592782158653e+00°)
1.27643880881134e+01	(-2.08174568959589e+01dB,1.13854571702098e+00°)
1.27938130415752e+01	(-2.08174489802591e+01dB,1.14116964255564e+00°)
1.28233058265601e+01	(-2.08174410280377e+01dB,1.14379961205858e+00°)
1.28528665994361e+01	(-2.08174330391253e+01dB,1.14643563942916e+00°)
1.28824955169313e+01	(-2.08174250133518e+01dB,1.14907773859856e+00°)
1.29121927361353e+01	(-2.08174169505471e+01dB,1.15172592352999e+00°)
1.29419584144998e+01	(-2.08174088505433e+01dB,1.15438020821896e+00°)
1.29717927098395e+01	(-2.08174007131653e+01dB,1.15704060669217e+00°)
1.30016957803328e+01	(-2.08173925382455e+01dB,1.15970713300953e+00°)
1.30316677845229e+01	(-2.08173843256045e+01dB,1.16237980126166e+00°)
1.30617088813183e+01	(-2.08173760750707e+01dB,1.16505862557255e+00°)
1.30918192299940e+01	(-2.08173677864709e+01dB,1.16774362009842e+00°)
1.31219989901919e+01	(-2.08173594596293e+01dB,1.17043479902761e+00°)
1.31522483219223e+01	(-2.08173510943664e+01dB,1.17313217658058e+00°)
1.31825673855640e+01	(-2.08173426905093e+01dB,1.17583576701130e+00°)
1.32129563418657e+01	(-2.08173342478792e+01dB,1.17854558460564e+00°)
1.32434153519466e+01	(-2.08173257662948e+01dB,1.18126164368194e+00°)
1.32739445772973e+01	(-2.08173172455786e+01dB,1.18398395859196e+00°)
1.33045441797808e+01	(-2.08173086855488e+01dB,1.18671254371976e+00°)
1.33352143216332e+01	(-2.08173000860246e+01dB,1.18944741348260e+00°)
1.33659551654643e+01	(-2.08172914468252e+01dB,1.19218858233079e+00°)
1.33967668742593e+01	(-2.08172827677631e+01dB,1.19493606474692e+00°)
1.34276496113785e+01	(-2.08172740486613e+01dB,1.19768987524825e+00°)
1.34586035405594e+01	(-2.08172652893286e+01dB,1.20045002838341e+00°)
1.34896288259164e+01	(-2.08172564895843e+01dB,1.20321653873586e+00°)
1.35207256319427e+01	(-2.08172476492400e+01dB,1.20598942092150e+00°)
1.35518941235103e+01	(-2.08172387681083e+01dB,1.20876868958985e+00°)
1.35831344658714e+01	(-2.08172298460044e+01dB,1.21155435942446e+00°)
1.36144468246594e+01	(-2.08172208827320e+01dB,1.21434644514096e+00°)
1.36458313658891e+01	(-2.08172118781080e+01dB,1.21714496149059e+00°)
1.36772882559584e+01	(-2.08172028319384e+01dB,1.21994992325696e+00°)
1.37088176616484e+01	(-2.08171937440326e+01dB,1.22276134525799e+00°)
1.37404197501250e+01	(-2.08171846141982e+01dB,1.22557924234543e+00°)
1.37720946889394e+01	(-2.08171754422404e+01dB,1.22840362940476e+00°)
1.38038426460287e+01	(-2.08171662279685e+01dB,1.23123452135616e+00°)
1.38356637897177e+01	(-2.08171569711853e+01dB,1.23407193315316e+00°)
1.38675582887188e+01	(-2.08171476716955e+01dB,1.23691587978386e+00°)
1.38995263121334e+01	(-2.08171383292971e+01dB,1.23976637626979e+00°)
1.39315680294529e+01	(-2.08171289437983e+01dB,1.24262343766841e+00°)
1.39636836105593e+01	(-2.08171195150000e+01dB,1.24548707907068e+00°)
1.39958732257261e+01	(-2.08171100427006e+01dB,1.24835731560183e+00°)
1.40281370456195e+01	(-2.08171005266977e+01dB,1.25123416242166e+00°)
1.40604752412990e+01	(-2.08170909667925e+01dB,1.25411763472531e+00°)
1.40928879842186e+01	(-2.08170813627839e+01dB,1.25700774774241e+00°)
1.41253754462274e+01	(-2.08170717144640e+01dB,1.25990451673655e+00°)
1.41579377995707e+01	(-2.08170620216340e+01dB,1.26280795700767e+00°)
1.41905752168908e+01	(-2.08170522840836e+01dB,1.26571808388913e+00°)
1.42232878712281e+01	(-2.08170425016095e+01dB,1.26863491275047e+00°)
1.42560759360218e+01	(-2.08170326740031e+01dB,1.27155845899574e+00°)
1.42889395851109e+01	(-2.08170228010571e+01dB,1.27448873806452e+00°)
1.43218789927353e+01	(-2.08170128825633e+01dB,1.27742576543162e+00°)
1.43548943335364e+01	(-2.08170029183092e+01dB,1.28036955660678e+00°)
1.43879857825583e+01	(-2.08169929080862e+01dB,1.28332012713584e+00°)
1.44211535152486e+01	(-2.08169828516804e+01dB,1.28627749259956e+00°)
1.44543977074592e+01	(-2.08169727488814e+01dB,1.28924166861490e+00°)
1.44877185354475e+01	(-2.08169625994722e+01dB,1.29221267083371e+00°)
1.45211161758773e+01	(-2.08169524032393e+01dB,1.29519051494423e+00°)
1.45545908058195e+01	(-2.08169421599681e+01dB,1.29817521667052e+00°)
1.45881426027534e+01	(-2.08169318694398e+01dB,1.30116679177210e+00°)
1.46217717445671e+01	(-2.08169215314369e+01dB,1.30416525604478e+00°)
1.46554784095590e+01	(-2.08169111457403e+01dB,1.30717062532037e+00°)
1.46892627764385e+01	(-2.08169007121323e+01dB,1.31018291546724e+00°)
1.47231250243271e+01	(-2.08168902303866e+01dB,1.31320214238880e+00°)
1.47570653327588e+01	(-2.08168797002889e+01dB,1.31622832202677e+00°)
1.47910838816819e+01	(-2.08168691216098e+01dB,1.31926147035709e+00°)
1.48251808514594e+01	(-2.08168584941286e+01dB,1.32230160339375e+00°)
1.48593564228699e+01	(-2.08168478176201e+01dB,1.32534873718669e+00°)
1.48936107771090e+01	(-2.08168370918550e+01dB,1.32840288782205e+00°)
1.49279440957898e+01	(-2.08168263166116e+01dB,1.33146407142403e+00°)
1.49623565609442e+01	(-2.08168154916575e+01dB,1.33453230415213e+00°)
1.49968483550236e+01	(-2.08168046167652e+01dB,1.33760760220371e+00°)
1.50314196609001e+01	(-2.08167936917013e+01dB,1.34068998181227e+00°)
1.50660706618673e+01	(-2.08167827162401e+01dB,1.34377945924977e+00°)
1.51008015416413e+01	(-2.08167716901472e+01dB,1.34687605082416e+00°)
1.51356124843619e+01	(-2.08167606131861e+01dB,1.34997977288037e+00°)
1.51705036745932e+01	(-2.08167494851256e+01dB,1.35309064180169e+00°)
1.52054752973248e+01	(-2.08167383057294e+01dB,1.35620867400815e+00°)
1.52405275379728e+01	(-2.08167270747613e+01dB,1.35933388595741e+00°)
1.52756605823806e+01	(-2.08167157919789e+01dB,1.36246629414394e+00°)
1.53108746168201e+01	(-2.08167044571513e+01dB,1.36560591510177e+00°)
1.53461698279928e+01	(-2.08166930700314e+01dB,1.36875276540031e+00°)
1.53815464030302e+01	(-2.08166816303833e+01dB,1.37190686164870e+00°)
1.54170045294954e+01	(-2.08166701379603e+01dB,1.37506822049247e+00°)
1.54525443953840e+01	(-2.08166585925223e+01dB,1.37823685861629e+00°)
1.54881661891247e+01	(-2.08166469938245e+01dB,1.38141279274241e+00°)
1.55238700995807e+01	(-2.08166353416209e+01dB,1.38459603963112e+00°)
1.55596563160506e+01	(-2.08166236356631e+01dB,1.38778661608078e+00°)
1.55955250282694e+01	(-2.08166118757061e+01dB,1.39098453892883e+00°)
1.56314764264094e+01	(-2.08166000614989e+01dB,1.39418982505026e+00°)
1.56675107010813e+01	(-2.08165881927906e+01dB,1.39740249135881e+00°)
1.57036280433354e+01	(-2.08165762693347e+01dB,1.40062255480763e+00°)
1.57398286446620e+01	(-2.08165642908744e+01dB,1.40385003238711e+00°)
1.57761126969933e+01	(-2.08165522571565e+01dB,1.40708494112713e+00°)
1.58124803927037e+01	(-2.08165401679278e+01dB,1.41032729809658e+00°)
1.58489319246110e+01	(-2.08165280229317e+01dB,1.41357712040293e+00°)
1.58854674859776e+01	(-2.08165158219116e+01dB,1.41683442519282e+00°)
1.59220872705115e+01	(-2.08165035646069e+01dB,1.42009922965155e+00°)
1.59587914723672e+01	(-2.08164912507614e+01dB,1.42337155100449e+00°)
1.59955802861465e+01	(-2.08164788801131e+01dB,1.42665140651555e+00°)
1.60324539069002e+01	(-2.08164664523991e+01dB,1.42993881348802e+00°)
1.60694125301286e+01	(-2.08164539673552e+01dB,1.43323378926462e+00°)
1.61064563517825e+01	(-2.08164414247239e+01dB,1.43653635122890e+00°)
1.61435855682647e+01	(-2.08164288242327e+01dB,1.43984651680178e+00°)
1.61808003764305e+01	(-2.08164161656139e+01dB,1.44316430344483e+00°)
1.62181009735891e+01	(-2.08164034486073e+01dB,1.44648972866092e+00°)
1.62554875575047e+01	(-2.08163906729364e+01dB,1.44982280999024e+00°)
1.62929603263970e+01	(-2.08163778383348e+01dB,1.45316356501490e+00°)
1.63305194789432e+01	(-2.08163649445298e+01dB,1.45651201135619e+00°)
1.63681652142779e+01	(-2.08163519912475e+01dB,1.45986816667555e+00°)
1.64058977319952e+01	(-2.08163389782151e+01dB,1.46323204867508e+00°)
1.64437172321491e+01	(-2.08163259051551e+01dB,1.46660367509662e+00°)
1.64816239152549e+01	(-2.08163127717940e+01dB,1.46998306372331e+00°)
1.65196179822900e+01	(-2.08162995778505e+01dB,1.47337023237771e+00°)
1.65576996346951e+01	(-2.08162863230481e+01dB,1.47676519892398e+00°)
1.65958690743754e+01	(-2.08162730071046e+01dB,1.48016798126625e+00°)
1.66341265037015e+01	(-2.08162596297387e+01dB,1.48357859734979e+00°)
1.66724721255104e+01	(-2.08162461906673e+01dB,1.48699706516063e+00°)
1.67109061431069e+01	(-2.08162326896060e+01dB,1.49042340272578e+00°)
1.67494287602642e+01	(-2.08162191262684e+01dB,1.49385762811322e+00°)
1.67880401812254e+01	(-2.08162055003686e+01dB,1.49729975943231e+00°)
1.68267406107045e+01	(-2.08161918116166e+01dB,1.50074981483323e+00°)
1.68655302538872e+01	(-2.08161780597244e+01dB,1.50420781250800e+00°)
1.69044093164324e+01	(-2.08161642443994e+01dB,1.50767377068953e+00°)
1.69433780044731e+01	(-2.08161503653518e+01dB,1.51114770765296e+00°)
1.69824365246172e+01	(-2.08161364222848e+01dB,1.51462964171402e+00°)
1.70215850839493e+01	(-2.08161224149044e+01dB,1.51811959123088e+00°)
1.70608238900310e+01	(-2.08161083429132e+01dB,1.52161757460312e+00°)
1.71001531509027e+01	(-2.08160942060155e+01dB,1.52512361027276e+00°)
1.71395730750840e+01	(-2.08160800039127e+01dB,1.52863771672349e+00°)
1.71790838715757e+01	(-2.08160657363002e+01dB,1.53215991248026e+00°)
1.72186857498599e+01	(-2.08160514028814e+01dB,1.53569021611183e+00°)
1.72583789199018e+01	(-2.08160370033477e+01dB,1.53922864622737e+00°)
1.72981635921508e+01	(-2.08160225373992e+01dB,1.54277522148013e+00°)
1.73380399775412e+01	(-2.08160080047257e+01dB,1.54632996056426e+00°)
1.73780082874935e+01	(-2.08159934050224e+01dB,1.54989288221761e+00°)
1.74180687339159e+01	(-2.08159787379773e+01dB,1.55346400521965e+00°)
1.74582215292048e+01	(-2.08159640032849e+01dB,1.55704334839397e+00°)
1.74984668862463e+01	(-2.08159492006297e+01dB,1.56063093060550e+00°)
1.75388050184174e+01	(-2.08159343296976e+01dB,1.56422677076250e+00°)
1.75792361395867e+01	(-2.08159193901762e+01dB,1.56783088781683e+00°)
1.76197604641161e+01	(-2.08159043817510e+01dB,1.57144330076337e+00°)
1.76603782068614e+01	(-2.08158893041015e+01dB,1.57506402863932e+00°)
1.77010895831740e+01	(-2.08158741569087e+01dB,1.57869309052573e+00°)
1.77418948089014e+01	(-2.08158589398517e+01dB,1.58233050554697e+00°)
1.77827941003890e+01	(-2.08158436526114e+01dB,1.58597629287145e+00°)
1.78237876744807e+01	(-2.08158282948623e+01dB,1.58963047171030e+00°)
1.78648757485203e+01	(-2.08158128662802e+01dB,1.59329306131880e+00°)
1.79060585403527e+01	(-2.08157973665366e+01dB,1.59696408099552e+00°)
1.79473362683250e+01	(-2.08157817953076e+01dB,1.60064355008397e+00°)
1.79887091512876e+01	(-2.08157661522589e+01dB,1.60433148797006e+00°)
1.80301774085954e+01	(-2.08157504370626e+01dB,1.60802791408514e+00°)
1.80717412601090e+01	(-2.08157346493857e+01dB,1.61173284790411e+00°)
1.81134009261958e+01	(-2.08157187888940e+01dB,1.61544630894614e+00°)
1.81551566277311e+01	(-2.08157028552525e+01dB,1.61916831677495e+00°)
1.81970085860996e+01	(-2.08156868481211e+01dB,1.62289889099802e+00°)
1.82389570231961e+01	(-2.08156707671669e+01dB,1.62663805126897e+00°)
1.82810021614272e+01	(-2.08156546120443e+01dB,1.63038581728406e+00°)
1.83231442237119e+01	(-2.08156383824140e+01dB,1.63414220878572e+00°)
1.83653834334832e+01	(-2.08156220779319e+01dB,1.63790724556060e+00°)
1.84077200146893e+01	(-2.08156056982537e+01dB,1.64168094744061e+00°)
1.84501541917945e+01	(-2.08155892430331e+01dB,1.64546333430260e+00°)
1.84926861897805e+01	(-2.08155727119218e+01dB,1.64925442606845e+00°)
1.85353162341478e+01	(-2.08155561045666e+01dB,1.65305424270468e+00°)
1.85780445509167e+01	(-2.08155394206238e+01dB,1.65686280422528e+00°)
1.86208713666284e+01	(-2.08155226597323e+01dB,1.66068013068665e+00°)
1.86637969083464e+01	(-2.08155058215437e+01dB,1.66450624219343e+00°)
1.87068214036577e+01	(-2.08154889056966e+01dB,1.66834115889382e+00°)
1.87499450806739e+01	(-2.08154719118373e+01dB,1.67218490098346e+00°)
1.87931681680324e+01	(-2.08154548396060e+01dB,1.67603748870300e+00°)
1.88364908948977e+01	(-2.08154376886393e+01dB,1.67989894233867e+00°)
1.88799134909627e+01	(-2.08154204585762e+01dB,1.68376928222352e+00°)
1.89234361864495e+01	(-2.08154031490505e+01dB,1.68764852873605e+00°)
1.89670592121112e+01	(-2.08153857596973e+01dB,1.69153670230161e+00°)
1.90107827992327e+01	(-2.08153682901483e+01dB,1.69543382339149e+00°)
1.90546071796322e+01	(-2.08153507400361e+01dB,1.69933991252405e+00°)
1.90985325856621e+01	(-2.08153331089864e+01dB,1.70325499026305e+00°)
1.91425592502106e+01	(-2.08153153966280e+01dB,1.70717907721996e+00°)
1.91866874067026e+01	(-2.08152976025830e+01dB,1.71111219405194e+00°)
1.92309172891013e+01	(-2.08152797264806e+01dB,1.71505436146481e+00°)
1.92752491319091e+01	(-2.08152617679406e+01dB,1.71900560020976e+00°)
1.93196831701689e+01	(-2.08152437265807e+01dB,1.72296593108505e+00°)
1.93642196394658e+01	(-2.08152256020234e+01dB,1.72693537493737e+00°)
1.94088587759275e+01	(-2.08152073938795e+01dB,1.73091395265869e+00°)
1.94536008162263e+01	(-2.08151891017712e+01dB,1.73490168519095e+00°)
1.94984459975802e+01	(-2.08151707253071e+01dB,1.73889859352129e+00°)
1.95433945577536e+01	(-2.08151522640964e+01dB,1.74290469868483e+00°)
1.95884467350596e+01	(-2.08151337177560e+01dB,1.74692002176629e+00°)
1.96336027683602e+01	(-2.08151150858860e+01dB,1.75094458389520e+00°)
1.96788628970681e+01	(-2.08150963680982e+01dB,1.75497840625165e+00°)
1.97242273611482e+01	(-2.08150775639913e+01dB,1.75902151006149e+00°)
1.97696964011183e+01	(-2.08150586731729e+01dB,1.76307391660080e+00°)
1.98152702580507e+01	(-2.08150396952418e+01dB,1.76713564719250e+00°)
1.98609491735734e+01	(-2.08150206297944e+01dB,1.77120672320769e+00°)
1.99067333898715e+01	(-2.08150014764296e+01dB,1.77528716606678e+00°)
1.99526231496885e+01	(-2.08149822347417e+01dB,1.77937699723813e+00°)
1.99986186963271e+01	(-2.08149629043234e+01dB,1.78347623823876e+00°)
2.00447202736513e+01	(-2.08149434847684e+01dB,1.78758491063507e+00°)
2.00909281260870e+01	(-2.08149239756639e+01dB,1.79170303604132e+00°)
2.01372424986236e+01	(-2.08149043765958e+01dB,1.79583063612085e+00°)
2.01836636368153e+01	(-2.08148846871533e+01dB,1.79996773258712e+00°)
2.02301917867824e+01	(-2.08148649069184e+01dB,1.80411434720169e+00°)
2.02768271952125e+01	(-2.08148450354713e+01dB,1.80827050177536e+00°)
2.03235701093619e+01	(-2.08148250723945e+01dB,1.81243621816922e+00°)
2.03704207770568e+01	(-2.08148050172642e+01dB,1.81661151829294e+00°)
2.04173794466950e+01	(-2.08147848696575e+01dB,1.82079642410635e+00°)
2.04644463672464e+01	(-2.08147646291484e+01dB,1.82499095761877e+00°)
2.05116217882553e+01	(-2.08147442953074e+01dB,1.82919514088897e+00°)
2.05589059598411e+01	(-2.08147238677046e+01dB,1.83340899602601e+00°)
2.06062991326997e+01	(-2.08147033459097e+01dB,1.83763254518927e+00°)
2.06538015581049e+01	(-2.08146827294899e+01dB,1.84186581058819e+00°)
2.07014134879101e+01	(-2.08146620180042e+01dB,1.84610881448110e+00°)
2.07491351745487e+01	(-2.08146412110225e+01dB,1.85036157917949e+00°)
2.07969668710366e+01	(-2.08146203080973e+01dB,1.85462412704193e+00°)
2.08449088309725e+01	(-2.08145993087897e+01dB,1.85889648047996e+00°)
2.08929613085400e+01	(-2.08145782126570e+01dB,1.86317866195531e+00°)
2.09411245585086e+01	(-2.08145570192517e+01dB,1.86747069397998e+00°)
2.09893988362349e+01	(-2.08145357281285e+01dB,1.87177259911776e+00°)
2.10377843976644e+01	(-2.08145143388316e+01dB,1.87608439998164e+00°)
2.10862814993325e+01	(-2.08144928509137e+01dB,1.88040611923801e+00°)
2.11348903983661e+01	(-2.08144712639196e+01dB,1.88473777960324e+00°)
2.11836113524847e+01	(-2.08144495773920e+01dB,1.88907940384506e+00°)
2.12324446200018e+01	(-2.08144277908728e+01dB,1.89343101478288e+00°)
2.12813904598267e+01	(-2.08144059039024e+01dB,1.89779263528791e+00°)
2.13304491314654e+01	(-2.08143839160143e+01dB,1.90216428828189e+00°)
2.13796208950219e+01	(-2.08143618267506e+01dB,1.90654599674078e+00°)
2.14289060112002e+01	(-2.08143396356399e+01dB,1.91093778368990e+00°)
2.14783047413050e+01	(-2.08143173422133e+01dB,1.91533967220764e+00°)
2.15278173472433e+01	(-2.08142949459991e+01dB,1.91975168542438e+00°)
2.15774440915263e+01	(-2.08142724465286e+01dB,1.92417384652383e+00°)
2.16271852372698e+01	(-2.08142498433183e+01dB,1.92860617873934e+00°)
2.16770410481966e+01	(-2.08142271358986e+01dB,1.93304870536026e+00°)
2.17270117886371e+01	(-2.08142043237830e+01dB,1.93750144972523e+00°)
2.17770977235312e+01	(-2.08141814064917e+01dB,1.94196443522759e+00°)
2.18272991184296e+01	(-2.08141583835422e+01dB,1.94643768531337e+00°)
2.18776162394951e+01	(-2.08141352544464e+01dB,1.95092122348081e+00°)
2.19280493535041e+01	(-2.08141120187160e+01dB,1.95541507328157e+00°)
2.19785987278478e+01	(-2.08140886758599e+01dB,1.95991925832044e+00°)
2.20292646305342e+01	(-2.08140652253837e+01dB,1.96443380225513e+00°)
2.20800473301886e+01	(-2.08140416667914e+01dB,1.96895872879696e+00°)
2.21309470960560e+01	(-2.08140179995861e+01dB,1.97349406171101e+00°)
2.21819641980018e+01	(-2.08139942232688e+01dB,1.97803982481607e+00°)
2.22330989065136e+01	(-2.08139703373376e+01dB,1.98259604198445e+00°)
2.22843514927026e+01	(-2.08139463412831e+01dB,1.98716273714118e+00°)
2.23357222283049e+01	(-2.08139222346035e+01dB,1.99173993426746e+00°)
2.23872113856830e+01	(-2.08138980167869e+01dB,1.99632765739686e+00°)
2.24388192378272e+01	(-2.08138736873230e+01dB,2.00092593061799e+00°)
2.24905460583574e+01	(-2.08138492456927e+01dB,2.00553477807231e+00°)
2.25423921215239e+01	(-2.08138246913886e+01dB,2.01015422395887e+00°)
2.25943577022094e+01	(-2.08138000238825e+01dB,2.01478429252714e+00°)
2.26464430759302e+01	(-2.08137752426605e+01dB,2.01942500808501e+00°)
2.26986485188378e+01	(-2.08137503471951e+01dB,2.02407639499259e+00°)
2.27509743077203e+01	(-2.08137253369603e+01dB,2.02873847766576e+00°)
