Freq.	V(4,3)/V(A)
1.30316677845229e+01	(-2.89659307467844e+01dB,8.85955798014241e+01°)
1.30617088813183e+01	(-2.89459427885170e+01dB,8.85923435796143e+01°)
1.30918192299940e+01	(-2.89259548858000e+01dB,8.85890999065575e+01°)
1.31219989901919e+01	(-2.89059670388893e+01dB,8.85858487651394e+01°)
1.31522483219223e+01	(-2.88859792480432e+01dB,8.85825901382067e+01°)
1.31825673855640e+01	(-2.88659915135184e+01dB,8.85793240085660e+01°)
1.32129563418657e+01	(-2.88460038355684e+01dB,8.85760503589852e+01°)
1.32434153519466e+01	(-2.88260162144609e+01dB,8.85727691721938e+01°)
1.32739445772973e+01	(-2.88060286504502e+01dB,8.85694804308803e+01°)
1.33045441797808e+01	(-2.87860411438125e+01dB,8.85661841176974e+01°)
1.33352143216332e+01	(-2.87660536948072e+01dB,8.85628802152540e+01°)
1.33659551654643e+01	(-2.87460663036941e+01dB,8.85595687061206e+01°)
1.33967668742593e+01	(-2.87260789707467e+01dB,8.85562495728290e+01°)
1.34276496113785e+01	(-2.87060916962273e+01dB,8.85529227978704e+01°)
1.34586035405594e+01	(-2.86861044804076e+01dB,8.85495883636960e+01°)
1.34896288259164e+01	(-2.86661173235649e+01dB,8.85462462527187e+01°)
1.35207256319427e+01	(-2.86461302259651e+01dB,8.85428964473089e+01°)
1.35518941235103e+01	(-2.86261431878722e+01dB,8.85395389297965e+01°)
1.35831344658714e+01	(-2.86061562095817e+01dB,8.85361736824758e+01°)
1.36144468246594e+01	(-2.85861692913488e+01dB,8.85328006875941e+01°)
1.36458313658891e+01	(-2.85661824334615e+01dB,8.85294199273634e+01°)
1.36772882559584e+01	(-2.85461956361947e+01dB,8.85260313839532e+01°)
1.37088176616484e+01	(-2.85262088998318e+01dB,8.85226350394931e+01°)
1.37404197501250e+01	(-2.85062222246444e+01dB,8.85192308760698e+01°)
1.37720946889394e+01	(-2.84862356109286e+01dB,8.85158188757335e+01°)
1.38038426460287e+01	(-2.84662490589501e+01dB,8.85123990204878e+01°)
1.38356637897177e+01	(-2.84462625690074e+01dB,8.85089712923007e+01°)
1.38675582887188e+01	(-2.84262761413846e+01dB,8.85055356730969e+01°)
1.38995263121334e+01	(-2.84062897763659e+01dB,8.85020921447591e+01°)
1.39315680294529e+01	(-2.83863034742349e+01dB,8.84986406891288e+01°)
1.39636836105593e+01	(-2.83663172352913e+01dB,8.84951812880084e+01°)
1.39958732257261e+01	(-2.83463310598187e+01dB,8.84917139231564e+01°)
1.40281370456195e+01	(-2.83263449481165e+01dB,8.84882385762919e+01°)
1.40604752412990e+01	(-2.83063589004752e+01dB,8.84847552290905e+01°)
1.40928879842186e+01	(-2.82863729171898e+01dB,8.84812638631867e+01°)
1.41253754462274e+01	(-2.82663869985594e+01dB,8.84777644601742e+01°)
1.41579377995707e+01	(-2.82464011448687e+01dB,8.84742570016009e+01°)
1.41905752168908e+01	(-2.82264153564381e+01dB,8.84707414689801e+01°)
1.42232878712281e+01	(-2.82064296335536e+01dB,8.84672178437758e+01°)
1.42560759360218e+01	(-2.81864439765284e+01dB,8.84636861074150e+01°)
1.42889395851109e+01	(-2.81664583856512e+01dB,8.84601462412770e+01°)
1.43218789927353e+01	(-2.81464728612425e+01dB,8.84565982267050e+01°)
1.43548943335364e+01	(-2.81264874035979e+01dB,8.84530420449943e+01°)
1.43879857825583e+01	(-2.81065020130292e+01dB,8.84494776774011e+01°)
1.44211535152486e+01	(-2.80865166898450e+01dB,8.84459051051377e+01°)
1.44543977074592e+01	(-2.80665314343612e+01dB,8.84423243093747e+01°)
1.44877185354475e+01	(-2.80465462468750e+01dB,8.84387352712360e+01°)
1.45211161758773e+01	(-2.80265611277110e+01dB,8.84351379718081e+01°)
1.45545908058195e+01	(-2.80065760771865e+01dB,8.84315323921320e+01°)
1.45881426027534e+01	(-2.79865910956159e+01dB,8.84279185132053e+01°)
1.46217717445671e+01	(-2.79666061833094e+01dB,8.84242963159809e+01°)
1.46554784095590e+01	(-2.79466213405901e+01dB,8.84206657813713e+01°)
1.46892627764385e+01	(-2.79266365677896e+01dB,8.84170268902460e+01°)
1.47231250243271e+01	(-2.79066518652199e+01dB,8.84133796234275e+01°)
1.47570653327588e+01	(-2.78866672331926e+01dB,8.84097239616946e+01°)
1.47910838816819e+01	(-2.78666826720569e+01dB,8.84060598857889e+01°)
1.48251808514594e+01	(-2.78466981821287e+01dB,8.84023873764011e+01°)
1.48593564228699e+01	(-2.78267137637259e+01dB,8.83987064141795e+01°)
1.48936107771090e+01	(-2.78067294172007e+01dB,8.83950169797330e+01°)
1.49279440957898e+01	(-2.77867451428680e+01dB,8.83913190536208e+01°)
1.49623565609442e+01	(-2.77667609410657e+01dB,8.83876126163603e+01°)
1.49968483550236e+01	(-2.77467768121248e+01dB,8.83838976484241e+01°)
1.50314196609001e+01	(-2.77267927563792e+01dB,8.83801741302405e+01°)
1.50660706618673e+01	(-2.77068087741729e+01dB,8.83764420421948e+01°)
1.51008015416413e+01	(-2.76868248658486e+01dB,8.83727013646270e+01°)
1.51356124843619e+01	(-2.76668410317263e+01dB,8.83689520778284e+01°)
1.51705036745932e+01	(-2.76468572721761e+01dB,8.83651941620541e+01°)
1.52054752973248e+01	(-2.76268735875167e+01dB,8.83614275975048e+01°)
1.52405275379728e+01	(-2.76068899781102e+01dB,8.83576523643442e+01°)
1.52756605823806e+01	(-2.75869064442898e+01dB,8.83538684426845e+01°)
1.53108746168201e+01	(-2.75669229864134e+01dB,8.83500758125979e+01°)
1.53461698279928e+01	(-2.75469396048333e+01dB,8.83462744541095e+01°)
1.53815464030302e+01	(-2.75269562998892e+01dB,8.83424643471963e+01°)
1.54170045294954e+01	(-2.75069730719495e+01dB,8.83386454717956e+01°)
1.54525443953840e+01	(-2.74869899213555e+01dB,8.83348178077929e+01°)
1.54881661891247e+01	(-2.74670068484707e+01dB,8.83309813350326e+01°)
1.55238700995807e+01	(-2.74470238536552e+01dB,8.83271360333119e+01°)
1.55596563160506e+01	(-2.74270409372610e+01dB,8.83232818823804e+01°)
1.55955250282694e+01	(-2.74070580996535e+01dB,8.83194188619442e+01°)
1.56314764264094e+01	(-2.73870753411966e+01dB,8.83155469516627e+01°)
1.56675107010813e+01	(-2.73670926622486e+01dB,8.83116661311475e+01°)
1.57036280433354e+01	(-2.73471100631886e+01dB,8.83077763799678e+01°)
1.57398286446620e+01	(-2.73271275443781e+01dB,8.83038776776428e+01°)
1.57761126969933e+01	(-2.73071451061793e+01dB,8.82999700036445e+01°)
1.58124803927037e+01	(-2.72871627489748e+01dB,8.82960533374027e+01°)
1.58489319246110e+01	(-2.72671804731312e+01dB,8.82921276582967e+01°)
1.58854674859776e+01	(-2.72471982790261e+01dB,8.82881929456611e+01°)
1.59220872705115e+01	(-2.72272161670366e+01dB,8.82842491787827e+01°)
1.59587914723672e+01	(-2.72072341375409e+01dB,8.82802963369015e+01°)
1.59955802861465e+01	(-2.71872521909213e+01dB,8.82763343992110e+01°)
1.60324539069002e+01	(-2.71672703275518e+01dB,8.82723633448555e+01°)
1.60694125301286e+01	(-2.71472885478242e+01dB,8.82683831529349e+01°)
1.61064563517825e+01	(-2.71273068521204e+01dB,8.82643938024997e+01°)
1.61435855682647e+01	(-2.71073252408328e+01dB,8.82603952725546e+01°)
1.61808003764305e+01	(-2.70873437143295e+01dB,8.82563875420512e+01°)
1.62181009735891e+01	(-2.70673622730296e+01dB,8.82523705899036e+01°)
1.62554875575047e+01	(-2.70473809173119e+01dB,8.82483443949694e+01°)
1.62929603263970e+01	(-2.70273996475688e+01dB,8.82443089360611e+01°)
1.63305194789432e+01	(-2.70074184641961e+01dB,8.82402641919430e+01°)
1.63681652142779e+01	(-2.69874373676008e+01dB,8.82362101413331e+01°)
1.64058977319952e+01	(-2.69674563581737e+01dB,8.82321467628983e+01°)
1.64437172321491e+01	(-2.69474754363275e+01dB,8.82280740352604e+01°)
1.64816239152549e+01	(-2.69274946024432e+01dB,8.82239919369861e+01°)
1.65196179822900e+01	(-2.69075138569558e+01dB,8.82199004466049e+01°)
1.65576996346951e+01	(-2.68875332002447e+01dB,8.82157995425848e+01°)
1.65958690743754e+01	(-2.68675526327415e+01dB,8.82116892033560e+01°)
1.66341265037015e+01	(-2.68475721548376e+01dB,8.82075694072913e+01°)
1.66724721255104e+01	(-2.68275917669596e+01dB,8.82034401327214e+01°)
1.67109061431069e+01	(-2.68076114695161e+01dB,8.81993013579232e+01°)
1.67494287602642e+01	(-2.67876312629344e+01dB,8.81951530611284e+01°)
1.67880401812254e+01	(-2.67676511476125e+01dB,8.81909952205130e+01°)
1.68267406107045e+01	(-2.67476711239874e+01dB,8.81868278142110e+01°)
1.68655302538872e+01	(-2.67276911924751e+01dB,8.81826508203020e+01°)
1.69044093164324e+01	(-2.67077113535053e+01dB,8.81784642168195e+01°)
1.69433780044731e+01	(-2.66877316074921e+01dB,8.81742679817422e+01°)
1.69824365246172e+01	(-2.66677519548801e+01dB,8.81700620930056e+01°)
1.70215850839493e+01	(-2.66477723960836e+01dB,8.81658465284888e+01°)
1.70608238900310e+01	(-2.66277929315481e+01dB,8.81616212660262e+01°)
1.71001531509027e+01	(-2.66078135617074e+01dB,8.81573862834002e+01°)
1.71395730750840e+01	(-2.65878342869854e+01dB,8.81531415583393e+01°)
1.71790838715757e+01	(-2.65678551078271e+01dB,8.81488870685264e+01°)
1.72186857498599e+01	(-2.65478760246733e+01dB,8.81446227915925e+01°)
1.72583789199018e+01	(-2.65278970379700e+01dB,8.81403487051185e+01°)
1.72981635921508e+01	(-2.65079181481521e+01dB,8.81360647866321e+01°)
1.73380399775412e+01	(-2.64879393556740e+01dB,8.81317710136137e+01°)
1.73780082874935e+01	(-2.64679606609819e+01dB,8.81274673634904e+01°)
1.74180687339159e+01	(-2.64479820645183e+01dB,8.81231538136371e+01°)
1.74582215292048e+01	(-2.64280035667497e+01dB,8.81188303413827e+01°)
1.74984668862463e+01	(-2.64080251681210e+01dB,8.81144969239996e+01°)
1.75388050184174e+01	(-2.63880468690928e+01dB,8.81101535387110e+01°)
1.75792361395867e+01	(-2.63680686701216e+01dB,8.81058001626885e+01°)
1.76197604641161e+01	(-2.63480905716762e+01dB,8.81014367730532e+01°)
1.76603782068614e+01	(-2.63281125742033e+01dB,8.80970633468703e+01°)
1.77010895831740e+01	(-2.63081346781829e+01dB,8.80926798611592e+01°)
1.77418948089014e+01	(-2.62881568840659e+01dB,8.80882862928804e+01°)
1.77827941003890e+01	(-2.62681791923456e+01dB,8.80838826189520e+01°)
1.78237876744807e+01	(-2.62482016034723e+01dB,8.80794688162297e+01°)
1.78648757485203e+01	(-2.62282241179353e+01dB,8.80750448615246e+01°)
1.79060585403527e+01	(-2.62082467361980e+01dB,8.80706107315900e+01°)
1.79473362683250e+01	(-2.61882694587380e+01dB,8.80661664031283e+01°)
1.79887091512876e+01	(-2.61682922860504e+01dB,8.80617118527940e+01°)
1.80301774085954e+01	(-2.61483152186044e+01dB,8.80572470571815e+01°)
1.80717412601090e+01	(-2.61283382568867e+01dB,8.80527719928365e+01°)
1.81134009261958e+01	(-2.61083614013864e+01dB,8.80482866362515e+01°)
1.81551566277311e+01	(-2.60883846525906e+01dB,8.80437909638649e+01°)
1.81970085860996e+01	(-2.60684080109913e+01dB,8.80392849520629e+01°)
1.82389570231961e+01	(-2.60484314770859e+01dB,8.80347685771787e+01°)
1.82810021614272e+01	(-2.60284550513680e+01dB,8.80302418154909e+01°)
1.83231442237119e+01	(-2.60084787343324e+01dB,8.80257046432246e+01°)
1.83653834334832e+01	(-2.59885025264903e+01dB,8.80211570365534e+01°)
1.84077200146893e+01	(-2.59685264283281e+01dB,8.80165989715929e+01°)
1.84501541917945e+01	(-2.59485504403572e+01dB,8.80120304244083e+01°)
1.84926861897805e+01	(-2.59285745630944e+01dB,8.80074513710123e+01°)
1.85353162341478e+01	(-2.59085987970415e+01dB,8.80028617873593e+01°)
1.85780445509167e+01	(-2.58886231427058e+01dB,8.79982616493501e+01°)
1.86208713666284e+01	(-2.58686476006092e+01dB,8.79936509328347e+01°)
1.86637969083464e+01	(-2.58486721712696e+01dB,8.79890296136058e+01°)
1.87068214036577e+01	(-2.58286968551996e+01dB,8.79843976674015e+01°)
1.87499450806739e+01	(-2.58087216529285e+01dB,8.79797550699075e+01°)
1.87931681680324e+01	(-2.57887465649710e+01dB,8.79751017967504e+01°)
1.88364908948977e+01	(-2.57687715918599e+01dB,8.79704378235064e+01°)
1.88799134909627e+01	(-2.57487967341219e+01dB,8.79657631256943e+01°)
1.89234361864495e+01	(-2.57288219922872e+01dB,8.79610776787779e+01°)
1.89670592121112e+01	(-2.57088473668962e+01dB,8.79563814581679e+01°)
1.90107827992327e+01	(-2.56888728584782e+01dB,8.79516744392162e+01°)
1.90546071796322e+01	(-2.56688984675712e+01dB,8.79469565972205e+01°)
1.90985325856621e+01	(-2.56489241947183e+01dB,8.79422279074237e+01°)
1.91425592502106e+01	(-2.56289500404650e+01dB,8.79374883450131e+01°)
1.91866874067026e+01	(-2.56089760053568e+01dB,8.79327378851189e+01°)
1.92309172891013e+01	(-2.55890020899412e+01dB,8.79279765028164e+01°)
1.92752491319091e+01	(-2.55690282947614e+01dB,8.79232041731215e+01°)
1.93196831701689e+01	(-2.55490546203846e+01dB,8.79184208710005e+01°)
1.93642196394658e+01	(-2.55290810673631e+01dB,8.79136265713585e+01°)
1.94088587759275e+01	(-2.55091076362491e+01dB,8.79088212490435e+01°)
1.94536008162263e+01	(-2.54891343276060e+01dB,8.79040048788491e+01°)
1.94984459975802e+01	(-2.54691611420038e+01dB,8.78991774355132e+01°)
1.95433945577536e+01	(-2.54491880799968e+01dB,8.78943388937124e+01°)
1.95884467350596e+01	(-2.54292151421661e+01dB,8.78894892280723e+01°)
1.96336027683602e+01	(-2.54092423290852e+01dB,8.78846284131589e+01°)
1.96788628970681e+01	(-2.53892696413134e+01dB,8.78797564234766e+01°)
1.97242273611482e+01	(-2.53692970794352e+01dB,8.78748732334783e+01°)
1.97696964011183e+01	(-2.53493246440380e+01dB,8.78699788175599e+01°)
1.98152702580507e+01	(-2.53293523356973e+01dB,8.78650731500555e+01°)
1.98609491735734e+01	(-2.53093801549973e+01dB,8.78601562052433e+01°)
1.99067333898715e+01	(-2.52894081025174e+01dB,8.78552279573418e+01°)
1.99526231496885e+01	(-2.52694361788657e+01dB,8.78502883805183e+01°)
1.99986186963271e+01	(-2.52494643846199e+01dB,8.78453374488731e+01°)
2.00447202736513e+01	(-2.52294927203834e+01dB,8.78403751364550e+01°)
2.00909281260870e+01	(-2.52095211867525e+01dB,8.78354014172514e+01°)
2.01372424986236e+01	(-2.51895497843288e+01dB,8.78304162651919e+01°)
2.01836636368153e+01	(-2.51695785137180e+01dB,8.78254196541484e+01°)
2.02301917867824e+01	(-2.51496073755236e+01dB,8.78204115579323e+01°)
2.02768271952125e+01	(-2.51296363703536e+01dB,8.78153919502969e+01°)
2.03235701093619e+01	(-2.51096654988270e+01dB,8.78103608049387e+01°)
2.03704207770568e+01	(-2.50896947615521e+01dB,8.78053180954922e+01°)
2.04173794466950e+01	(-2.50697241591544e+01dB,8.78002637955353e+01°)
2.04644463672464e+01	(-2.50497536922410e+01dB,8.77951978785819e+01°)
2.05116217882553e+01	(-2.50297833614431e+01dB,8.77901203180918e+01°)
2.05589059598411e+01	(-2.50098131673949e+01dB,8.77850310874653e+01°)
2.06062991326997e+01	(-2.49898431107177e+01dB,8.77799301600392e+01°)
2.06538015581049e+01	(-2.49698731920427e+01dB,8.77748175090918e+01°)
2.07014134879101e+01	(-2.49499034120055e+01dB,8.77696931078421e+01°)
2.07491351745487e+01	(-2.49299337712491e+01dB,8.77645569294505e+01°)
2.07969668710366e+01	(-2.49099642704090e+01dB,8.77594089470142e+01°)
2.08449088309725e+01	(-2.48899949101284e+01dB,8.77542491335714e+01°)
2.08929613085400e+01	(-2.48700256910616e+01dB,8.77490774621018e+01°)
2.09411245585086e+01	(-2.48500566138475e+01dB,8.77438939055203e+01°)
2.09893988362349e+01	(-2.48300876791525e+01dB,8.77386984366869e+01°)
2.10377843976644e+01	(-2.48101188876226e+01dB,8.77334910283951e+01°)
2.10862814993325e+01	(-2.47901502399157e+01dB,8.77282716533793e+01°)
2.11348903983661e+01	(-2.47701817366999e+01dB,8.77230402843158e+01°)
2.11836113524847e+01	(-2.47502133786261e+01dB,8.77177968938127e+01°)
2.12324446200018e+01	(-2.47302451663814e+01dB,8.77125414544270e+01°)
2.12813904598267e+01	(-2.47102771006328e+01dB,8.77072739386476e+01°)
2.13304491314654e+01	(-2.46903091820421e+01dB,8.77019943188993e+01°)
2.13796208950219e+01	(-2.46703414112967e+01dB,8.76967025675517e+01°)
2.14289060112002e+01	(-2.46503737890690e+01dB,8.76913986569074e+01°)
2.14783047413050e+01	(-2.46304063160525e+01dB,8.76860825592120e+01°)
2.15278173472433e+01	(-2.46104389929314e+01dB,8.76807542466455e+01°)
2.15774440915263e+01	(-2.45904718203888e+01dB,8.76754136913245e+01°)
2.16271852372698e+01	(-2.45705047991220e+01dB,8.76700608653065e+01°)
2.16770410481966e+01	(-2.45505379298202e+01dB,8.76646957405834e+01°)
2.17270117886371e+01	(-2.45305712131948e+01dB,8.76593182890892e+01°)
2.17770977235312e+01	(-2.45106046499396e+01dB,8.76539284826899e+01°)
2.18272991184296e+01	(-2.44906382407608e+01dB,8.76485262931912e+01°)
2.18776162394951e+01	(-2.44706719863692e+01dB,8.76431116923359e+01°)
2.19280493535041e+01	(-2.44507058874800e+01dB,8.76376846518040e+01°)
2.19785987278478e+01	(-2.44307399448017e+01dB,8.76322451432094e+01°)
2.20292646305342e+01	(-2.44107741590521e+01dB,8.76267931381045e+01°)
2.20800473301886e+01	(-2.43908085309591e+01dB,8.76213286079797e+01°)
2.21309470960560e+01	(-2.43708430612541e+01dB,8.76158515242624e+01°)
2.21819641980018e+01	(-2.43508777506489e+01dB,8.76103618583090e+01°)
2.22330989065136e+01	(-2.43309125998785e+01dB,8.76048595814183e+01°)
2.22843514927026e+01	(-2.43109476096930e+01dB,8.75993446648274e+01°)
2.23357222283049e+01	(-2.42909827808169e+01dB,8.75938170797017e+01°)
2.23872113856830e+01	(-2.42710181139999e+01dB,8.75882767971484e+01°)
2.24388192378272e+01	(-2.42510536099833e+01dB,8.75827237882067e+01°)
2.24905460583574e+01	(-2.42310892695164e+01dB,8.75771580238527e+01°)
2.25423921215239e+01	(-2.42111250933474e+01dB,8.75715794749957e+01°)
2.25943577022094e+01	(-2.41911610822396e+01dB,8.75659881124846e+01°)
2.26464430759302e+01	(-2.41711972369525e+01dB,8.75603839071005e+01°)
2.26986485188378e+01	(-2.41512335582362e+01dB,8.75547668295557e+01°)
2.27509743077203e+01	(-2.41312700468670e+01dB,8.75491368505040e+01°)
