Freq.	V(A)/I(RDC_AB)
1.06414301822431e+01	(-2.94973635942011e+01dB,1.14683414092553e+00°)
1.06659612123026e+01	(-2.94973555631129e+01dB,1.14947715803238e+00°)
1.06905487922266e+01	(-2.94973474949806e+01dB,1.15212626301398e+00°)
1.07151930523760e+01	(-2.94973393896194e+01dB,1.15478146986846e+00°)
1.07398941234124e+01	(-2.94973312468580e+01dB,1.15744279262788e+00°)
1.07646521362983e+01	(-2.94973230665224e+01dB,1.16011024535618e+00°)
1.07894672222983e+01	(-2.94973148484512e+01dB,1.16278384215125e+00°)
1.08143395129794e+01	(-2.94973065924605e+01dB,1.16546359714032e+00°)
1.08392691402120e+01	(-2.94972982983800e+01dB,1.16814952448493e+00°)
1.08642562361706e+01	(-2.94972899660270e+01dB,1.17084163837740e+00°)
1.08893009333343e+01	(-2.94972815952355e+01dB,1.17353995304491e+00°)
1.09144033644875e+01	(-2.94972731858196e+01dB,1.17624448274462e+00°)
1.09395636627209e+01	(-2.94972647376015e+01dB,1.17895524176751e+00°)
1.09647819614318e+01	(-2.94972562504069e+01dB,1.18167224443782e+00°)
1.09900583943252e+01	(-2.94972477240549e+01dB,1.18439550511177e+00°)
1.10153930954141e+01	(-2.94972391583635e+01dB,1.18712503817844e+00°)
1.10407861990207e+01	(-2.94972305531546e+01dB,1.18986085806041e+00°)
1.10662378397766e+01	(-2.94972219082373e+01dB,1.19260297921165e+00°)
1.10917481526240e+01	(-2.94972132234377e+01dB,1.19535141612158e+00°)
1.11173172728159e+01	(-2.94972044985647e+01dB,1.19810618331060e+00°)
1.11429453359173e+01	(-2.94971957334397e+01dB,1.20086729533408e+00°)
1.11686324778056e+01	(-2.94971869278728e+01dB,1.20363476677928e+00°)
1.11943788346715e+01	(-2.94971780816837e+01dB,1.20640861226825e+00°)
1.12201845430196e+01	(-2.94971691946793e+01dB,1.20918884645484e+00°)
1.12460497396692e+01	(-2.94971602666734e+01dB,1.21197548402745e+00°)
1.12719745617551e+01	(-2.94971512974654e+01dB,1.21476853970623e+00°)
1.12979591467279e+01	(-2.94971422868902e+01dB,1.21756802825004e+00°)
1.13240036323555e+01	(-2.94971332347399e+01dB,1.22037396444563e+00°)
1.13501081567231e+01	(-2.94971241408187e+01dB,1.22318636311538e+00°)
1.13762728582343e+01	(-2.94971150049475e+01dB,1.22600523911801e+00°)
1.14024978756117e+01	(-2.94971058269283e+01dB,1.22883060734371e+00°)
1.14287833478977e+01	(-2.94970966065587e+01dB,1.23166248271618e+00°)
1.14551294144553e+01	(-2.94970873436493e+01dB,1.23450088019523e+00°)
1.14815362149688e+01	(-2.94970780380044e+01dB,1.23734581477408e+00°)
1.15080038894443e+01	(-2.94970686894341e+01dB,1.24019730148120e+00°)
1.15345325782109e+01	(-2.94970592977279e+01dB,1.24305535537659e+00°)
1.15611224219209e+01	(-2.94970498626902e+01dB,1.24591999155693e+00°)
1.15877735615512e+01	(-2.94970403841254e+01dB,1.24879122515357e+00°)
1.16144861384034e+01	(-2.94970308618291e+01dB,1.25166907133124e+00°)
1.16412602941049e+01	(-2.94970212955983e+01dB,1.25455354528975e+00°)
1.16680961706096e+01	(-2.94970116852423e+01dB,1.25744466226548e+00°)
1.16949939101987e+01	(-2.94970020305418e+01dB,1.26034243752570e+00°)
1.17219536554813e+01	(-2.94969923312959e+01dB,1.26324688637528e+00°)
1.17489755493953e+01	(-2.94969825873035e+01dB,1.26615802415429e+00°)
1.17760597352080e+01	(-2.94969727983586e+01dB,1.26907586623716e+00°)
1.18032063565173e+01	(-2.94969629642556e+01dB,1.27200042803372e+00°)
1.18304155572516e+01	(-2.94969530847796e+01dB,1.27493172498776e+00°)
1.18576874816716e+01	(-2.94969431597257e+01dB,1.27786977257997e+00°)
1.18850222743701e+01	(-2.94969331888812e+01dB,1.28081458632540e+00°)
1.19124200802737e+01	(-2.94969231720310e+01dB,1.28376618177433e+00°)
1.19398810446427e+01	(-2.94969131089834e+01dB,1.28672457451616e+00°)
1.19674053130724e+01	(-2.94969029994939e+01dB,1.28968978016826e+00°)
1.19949930314937e+01	(-2.94968928433761e+01dB,1.29266181439238e+00°)
1.20226443461741e+01	(-2.94968826403994e+01dB,1.29564069287970e+00°)
1.20503594037179e+01	(-2.94968723903539e+01dB,1.29862643136037e+00°)
1.20781383510677e+01	(-2.94968620930185e+01dB,1.30161904559904e+00°)
1.21059813355048e+01	(-2.94968517481781e+01dB,1.30461855139737e+00°)
1.21338885046497e+01	(-2.94968413556172e+01dB,1.30762496459318e+00°)
1.21618600064636e+01	(-2.94968309151000e+01dB,1.31063830105758e+00°)
1.21898959892486e+01	(-2.94968204264274e+01dB,1.31365857670359e+00°)
1.22179966016487e+01	(-2.94968098893616e+01dB,1.31668580747491e+00°)
1.22461619926504e+01	(-2.94967993036887e+01dB,1.31972000935539e+00°)
1.22743923115840e+01	(-2.94967886691775e+01dB,1.32276119836289e+00°)
1.23026877081238e+01	(-2.94967779856075e+01dB,1.32580939055367e+00°)
1.23310483322890e+01	(-2.94967672527471e+01dB,1.32886460201907e+00°)
1.23594743344450e+01	(-2.94967564703779e+01dB,1.33192684888938e+00°)
1.23879658653036e+01	(-2.94967456382649e+01dB,1.33499614732929e+00°)
1.24165230759240e+01	(-2.94967347561803e+01dB,1.33807251354170e+00°)
1.24451461177138e+01	(-2.94967238238926e+01dB,1.34115596376606e+00°)
1.24738351424294e+01	(-2.94967128411708e+01dB,1.34424651427912e+00°)
1.25025903021771e+01	(-2.94967018077868e+01dB,1.34734418139542e+00°)
1.25314117494141e+01	(-2.94966907235004e+01dB,1.35044898146501e+00°)
1.25602996369487e+01	(-2.94966795880842e+01dB,1.35356093087742e+00°)
1.25892541179416e+01	(-2.94966684012898e+01dB,1.35668004605647e+00°)
1.26182753459066e+01	(-2.94966571628881e+01dB,1.35980634346663e+00°)
1.26473634747114e+01	(-2.94966458726499e+01dB,1.36293983961015e+00°)
1.26765186585784e+01	(-2.94966345303279e+01dB,1.36608055102418e+00°)
1.27057410520853e+01	(-2.94966231356696e+01dB,1.36922849428302e+00°)
1.27350308101665e+01	(-2.94966116884554e+01dB,1.37238368600416e+00°)
1.27643880881134e+01	(-2.94966001884389e+01dB,1.37554614283888e+00°)
1.27938130415752e+01	(-2.94965886353615e+01dB,1.37871588147474e+00°)
1.28233058265601e+01	(-2.94965770289887e+01dB,1.38189291864136e+00°)
1.28528665994361e+01	(-2.94965653690852e+01dB,1.38507727110657e+00°)
1.28824955169313e+01	(-2.94965536553846e+01dB,1.38826895567168e+00°)
1.29121927361353e+01	(-2.94965418876478e+01dB,1.39146798918083e+00°)
1.29419584144998e+01	(-2.94965300656287e+01dB,1.39467438851570e+00°)
1.29717927098395e+01	(-2.94965181890704e+01dB,1.39788817059486e+00°)
1.30016957803328e+01	(-2.94965062577290e+01dB,1.40110935237779e+00°)
1.30316677845229e+01	(-2.94964942713463e+01dB,1.40433795086051e+00°)
1.30617088813183e+01	(-2.94964822296749e+01dB,1.40757398307970e+00°)
1.30918192299940e+01	(-2.94964701324487e+01dB,1.41081746610810e+00°)
1.31219989901919e+01	(-2.94964579794205e+01dB,1.41406841706060e+00°)
1.31522483219223e+01	(-2.94964457703277e+01dB,1.41732685308880e+00°)
1.31825673855640e+01	(-2.94964335049193e+01dB,1.42059279138552e+00°)
1.32129563418657e+01	(-2.94964211829303e+01dB,1.42386624918064e+00°)
1.32434153519466e+01	(-2.94964088041004e+01dB,1.42714724374429e+00°)
1.32739445772973e+01	(-2.94963963681707e+01dB,1.43043579238641e+00°)
1.33045441797808e+01	(-2.94963838748709e+01dB,1.43373191245476e+00°)
1.33352143216332e+01	(-2.94963713239417e+01dB,1.43703562133854e+00°)
1.33659551654643e+01	(-2.94963587151158e+01dB,1.44034693646558e+00°)
1.33967668742593e+01	(-2.94963460481300e+01dB,1.44366587530423e+00°)
1.34276496113785e+01	(-2.94963333227105e+01dB,1.44699245536115e+00°)
1.34586035405594e+01	(-2.94963205385913e+01dB,1.45032669418435e+00°)
1.34896288259164e+01	(-2.94963076954993e+01dB,1.45366860936088e+00°)
1.35207256319427e+01	(-2.94962947931659e+01dB,1.45701821851881e+00°)
1.35518941235103e+01	(-2.94962818313242e+01dB,1.46037553932688e+00°)
1.35831344658714e+01	(-2.94962688096801e+01dB,1.46374058948970e+00°)
1.36144468246594e+01	(-2.94962557279797e+01dB,1.46711338675924e+00°)
1.36458313658891e+01	(-2.94962425859280e+01dB,1.47049394892116e+00°)
1.36772882559584e+01	(-2.94962293832645e+01dB,1.47388229380765e+00°)
1.37088176616484e+01	(-2.94962161196942e+01dB,1.47727843928598e+00°)
1.37404197501250e+01	(-2.94962027949469e+01dB,1.48068240326846e+00°)
1.37720946889394e+01	(-2.94961894087338e+01dB,1.48409420370528e+00°)
1.38038426460287e+01	(-2.94961759607777e+01dB,1.48751385858972e+00°)
1.38356637897177e+01	(-2.94961624507843e+01dB,1.49094138595333e+00°)
1.38675582887188e+01	(-2.94961488784781e+01dB,1.49437680387217e+00°)
1.38995263121334e+01	(-2.94961352435665e+01dB,1.49782013046072e+00°)
1.39315680294529e+01	(-2.94961215457642e+01dB,1.50127138387623e+00°)
1.39636836105593e+01	(-2.94961077847788e+01dB,1.50473058231628e+00°)
1.39958732257261e+01	(-2.94960939603196e+01dB,1.50819774402039e+00°)
1.40281370456195e+01	(-2.94960800720929e+01dB,1.51167288726931e+00°)
1.40604752412990e+01	(-2.94960661198038e+01dB,1.51515603038546e+00°)
1.40928879842186e+01	(-2.94960521031602e+01dB,1.51864719173368e+00°)
1.41253754462274e+01	(-2.94960380218616e+01dB,1.52214638971936e+00°)
1.41579377995707e+01	(-2.94960238756220e+01dB,1.52565364279258e+00°)
1.41905752168908e+01	(-2.94960096641222e+01dB,1.52916896943980e+00°)
1.42232878712281e+01	(-2.94959953870762e+01dB,1.53269238819567e+00°)
1.42560759360218e+01	(-2.94959810441768e+01dB,1.53622391763347e+00°)
1.42889395851109e+01	(-2.94959666351235e+01dB,1.53976357637023e+00°)
1.43218789927353e+01	(-2.94959521596076e+01dB,1.54331138306409e+00°)
1.43548943335364e+01	(-2.94959376173275e+01dB,1.54686735641717e+00°)
1.43879857825583e+01	(-2.94959230079658e+01dB,1.55043151517157e+00°)
1.44211535152486e+01	(-2.94959083312253e+01dB,1.55400387811589e+00°)
1.44543977074592e+01	(-2.94958935867830e+01dB,1.55758446407708e+00°)
1.44877185354475e+01	(-2.94958787743430e+01dB,1.56117329193007e+00°)
1.45211161758773e+01	(-2.94958638935779e+01dB,1.56477038058731e+00°)
1.45545908058195e+01	(-2.94958489441806e+01dB,1.56837574900814e+00°)
1.45881426027534e+01	(-2.94958339258309e+01dB,1.57198941619294e+00°)
1.46217717445671e+01	(-2.94958188382083e+01dB,1.57561140118553e+00°)
1.46554784095590e+01	(-2.94958036810015e+01dB,1.57924172307493e+00°)
1.46892627764385e+01	(-2.94957884538844e+01dB,1.58288040099115e+00°)
1.47231250243271e+01	(-2.94957731565293e+01dB,1.58652745410769e+00°)
1.47570653327588e+01	(-2.94957577886305e+01dB,1.59018290164587e+00°)
1.47910838816819e+01	(-2.94957423498458e+01dB,1.59384676286439e+00°)
1.48251808514594e+01	(-2.94957268398535e+01dB,1.59751905706968e+00°)
1.48593564228699e+01	(-2.94957112583301e+01dB,1.60119980361203e+00°)
1.48936107771090e+01	(-2.94956956049349e+01dB,1.60488902188282e+00°)
1.49279440957898e+01	(-2.94956798793515e+01dB,1.60858673132229e+00°)
1.49623565609442e+01	(-2.94956640812276e+01dB,1.61229295140845e+00°)
1.49968483550236e+01	(-2.94956482102523e+01dB,1.61600770167156e+00°)
1.50314196609001e+01	(-2.94956322660760e+01dB,1.61973100167937e+00°)
1.50660706618673e+01	(-2.94956162483619e+01dB,1.62346287104670e+00°)
1.51008015416413e+01	(-2.94956001567685e+01dB,1.62720332943242e+00°)
1.51356124843619e+01	(-2.94955839909704e+01dB,1.63095239654329e+00°)
1.51705036745932e+01	(-2.94955677506044e+01dB,1.63471009212413e+00°)
1.52054752973248e+01	(-2.94955514353418e+01dB,1.63847643597131e+00°)
1.52405275379728e+01	(-2.94955350448322e+01dB,1.64225144792240e+00°)
1.52756605823806e+01	(-2.94955185787350e+01dB,1.64603514786219e+00°)
1.53108746168201e+01	(-2.94955020366952e+01dB,1.64982755571820e+00°)
1.53461698279928e+01	(-2.94954854183591e+01dB,1.65362869146373e+00°)
1.53815464030302e+01	(-2.94954687233870e+01dB,1.65743857512043e+00°)
1.54170045294954e+01	(-2.94954519514090e+01dB,1.66125722674994e+00°)
1.54525443953840e+01	(-2.94954351020911e+01dB,1.66508466646660e+00°)
1.54881661891247e+01	(-2.94954181750597e+01dB,1.66892091442322e+00°)
1.55238700995807e+01	(-2.94954011699576e+01dB,1.67276599082172e+00°)
1.55596563160506e+01	(-2.94953840864413e+01dB,1.67661991591288e+00°)
1.55955250282694e+01	(-2.94953669241354e+01dB,1.68048270998764e+00°)
1.56314764264094e+01	(-2.94953496826804e+01dB,1.68435439338632e+00°)
1.56675107010813e+01	(-2.94953323617106e+01dB,1.68823498649456e+00°)
1.57036280433354e+01	(-2.94953149608588e+01dB,1.69212450974428e+00°)
1.57398286446620e+01	(-2.94952974797573e+01dB,1.69602298361401e+00°)
1.57761126969933e+01	(-2.94952799180427e+01dB,1.69993042862988e+00°)
1.58124803927037e+01	(-2.94952622753395e+01dB,1.70384686536262e+00°)
1.58489319246110e+01	(-2.94952445512712e+01dB,1.70777231442966e+00°)
1.58854674859776e+01	(-2.94952267454644e+01dB,1.71170679649625e+00°)
1.59220872705115e+01	(-2.94952088575418e+01dB,1.71565033227403e+00°)
1.59587914723672e+01	(-2.94951908871285e+01dB,1.71960294252240e+00°)
1.59955802861465e+01	(-2.94951728338419e+01dB,1.72356464804674e+00°)
1.60324539069002e+01	(-2.94951546972979e+01dB,1.72753546969960e+00°)
1.60694125301286e+01	(-2.94951364771178e+01dB,1.73151542838225e+00°)
1.61064563517825e+01	(-2.94951181729139e+01dB,1.73550454504189e+00°)
1.61435855682647e+01	(-2.94950997842982e+01dB,1.73950284067355e+00°)
1.61808003764305e+01	(-2.94950813108880e+01dB,1.74351033632125e+00°)
1.62181009735891e+01	(-2.94950627522845e+01dB,1.74752705307383e+00°)
1.62554875575047e+01	(-2.94950441080944e+01dB,1.75155301206941e+00°)
1.62929603263970e+01	(-2.94950253779298e+01dB,1.75558823449543e+00°)
1.63305194789432e+01	(-2.94950065613992e+01dB,1.75963274158707e+00°)
1.63681652142779e+01	(-2.94949876580867e+01dB,1.76368655462301e+00°)
1.64058977319952e+01	(-2.94949686676103e+01dB,1.76774969493736e+00°)
1.64437172321491e+01	(-2.94949495895532e+01dB,1.77182218390591e+00°)
1.64816239152549e+01	(-2.94949304235340e+01dB,1.77590404296048e+00°)
1.65196179822900e+01	(-2.94949111691179e+01dB,1.77999529357087e+00°)
1.65576996346951e+01	(-2.94948918259241e+01dB,1.78409595726698e+00°)
1.65958690743754e+01	(-2.94948723935297e+01dB,1.78820605561919e+00°)
1.66341265037015e+01	(-2.94948528715286e+01dB,1.79232561025064e+00°)
1.66724721255104e+01	(-2.94948332595046e+01dB,1.79645464283164e+00°)
1.67109061431069e+01	(-2.94948135570432e+01dB,1.80059317508242e+00°)
1.67494287602642e+01	(-2.94947937637315e+01dB,1.80474122877302e+00°)
1.67880401812254e+01	(-2.94947738791484e+01dB,1.80889882572159e+00°)
1.68267406107045e+01	(-2.94947539028758e+01dB,1.81306598779655e+00°)
1.68655302538872e+01	(-2.94947338344888e+01dB,1.81724273691491e+00°)
1.69044093164324e+01	(-2.94947136735580e+01dB,1.82142909504271e+00°)
1.69433780044731e+01	(-2.94946934196735e+01dB,1.82562508420021e+00°)
1.69824365246172e+01	(-2.94946730723906e+01dB,1.82983072645061e+00°)
1.70215850839493e+01	(-2.94946526312822e+01dB,1.83404604391117e+00°)
1.70608238900310e+01	(-2.94946320959242e+01dB,1.83827105875021e+00°)
1.71001531509027e+01	(-2.94946114658699e+01dB,1.84250579318188e+00°)
1.71395730750840e+01	(-2.94945907406970e+01dB,1.84675026947611e+00°)
1.71790838715757e+01	(-2.94945699199604e+01dB,1.85100450994891e+00°)
1.72186857498599e+01	(-2.94945490032149e+01dB,1.85526853696708e+00°)
1.72583789199018e+01	(-2.94945279900290e+01dB,1.85954237295138e+00°)
1.72981635921508e+01	(-2.94945068799519e+01dB,1.86382604036960e+00°)
1.73380399775412e+01	(-2.94944856725350e+01dB,1.86811956174124e+00°)
1.73780082874935e+01	(-2.94944643673323e+01dB,1.87242295963766e+00°)
1.74180687339159e+01	(-2.94944429639008e+01dB,1.87673625668248e+00°)
1.74582215292048e+01	(-2.94944214617831e+01dB,1.88105947554765e+00°)
1.74984668862463e+01	(-2.94943998605182e+01dB,1.88539263895614e+00°)
1.75388050184174e+01	(-2.94943781596543e+01dB,1.88973576968469e+00°)
1.75792361395867e+01	(-2.94943563587305e+01dB,1.89408889055997e+00°)
1.76197604641161e+01	(-2.94943344572909e+01dB,1.89845202446184e+00°)
1.76603782068614e+01	(-2.94943124548731e+01dB,1.90282519432086e+00°)
1.77010895831740e+01	(-2.94942903510071e+01dB,1.90720842311823e+00°)
1.77418948089014e+01	(-2.94942681452348e+01dB,1.91160173389014e+00°)
1.77827941003890e+01	(-2.94942458370673e+01dB,1.91600514971851e+00°)
1.78237876744807e+01	(-2.94942234260512e+01dB,1.92041869374570e+00°)
1.78648757485203e+01	(-2.94942009117019e+01dB,1.92484238915989e+00°)
1.79060585403527e+01	(-2.94941782935527e+01dB,1.92927625920615e+00°)
1.79473362683250e+01	(-2.94941555711234e+01dB,1.93372032717947e+00°)
1.79887091512876e+01	(-2.94941327439288e+01dB,1.93817461642682e+00°)
1.80301774085954e+01	(-2.94941098114897e+01dB,1.94263915034976e+00°)
1.80717412601090e+01	(-2.94940867733210e+01dB,1.94711395240176e+00°)
1.81134009261958e+01	(-2.94940636289391e+01dB,1.95159904609017e+00°)
1.81551566277311e+01	(-2.94940403778499e+01dB,1.95609445497347e+00°)
1.81970085860996e+01	(-2.94940170195670e+01dB,1.96060020266558e+00°)
1.82389570231961e+01	(-2.94939935535902e+01dB,1.96511631283107e+00°)
1.82810021614272e+01	(-2.94939699794273e+01dB,1.96964280919027e+00°)
1.83231442237119e+01	(-2.94939462965807e+01dB,1.97417971551627e+00°)
1.83653834334832e+01	(-2.94939225045463e+01dB,1.97872705563489e+00°)
1.84077200146893e+01	(-2.94938986028263e+01dB,1.98328485342762e+00°)
1.84501541917945e+01	(-2.94938745909149e+01dB,1.98785313282849e+00°)
1.84926861897805e+01	(-2.94938504683013e+01dB,1.99243191782493e+00°)
1.85353162341478e+01	(-2.94938262344762e+01dB,1.99702123245933e+00°)
1.85780445509167e+01	(-2.94938018889340e+01dB,2.00162110082968e+00°)
1.86208713666284e+01	(-2.94937774311540e+01dB,2.00623154708535e+00°)
1.86637969083464e+01	(-2.94937528606113e+01dB,2.01085259542975e+00°)
1.87068214036577e+01	(-2.94937281768048e+01dB,2.01548427012684e+00°)
1.87499450806739e+01	(-2.94937033792023e+01dB,2.02012659548870e+00°)
1.87931681680324e+01	(-2.94936784672875e+01dB,2.02477959588638e+00°)
1.88364908948977e+01	(-2.94936534405220e+01dB,2.02944329574131e+00°)
1.88799134909627e+01	(-2.94936282983863e+01dB,2.03411771953488e+00°)
1.89234361864495e+01	(-2.94936030403487e+01dB,2.03880289180134e+00°)
1.89670592121112e+01	(-2.94935776658661e+01dB,2.04349883712812e+00°)
1.90107827992327e+01	(-2.94935521744117e+01dB,2.04820558016247e+00°)
1.90546071796322e+01	(-2.94935265654450e+01dB,2.05292314560444e+00°)
1.90985325856621e+01	(-2.94935008384299e+01dB,2.05765155821138e+00°)
1.91425592502106e+01	(-2.94934749928094e+01dB,2.06239084279198e+00°)
1.91866874067026e+01	(-2.94934490280496e+01dB,2.06714102421688e+00°)
1.92309172891013e+01	(-2.94934229435972e+01dB,2.07190212740868e+00°)
1.92752491319091e+01	(-2.94933967389075e+01dB,2.07667417734875e+00°)
1.93196831701689e+01	(-2.94933704134163e+01dB,2.08145719907059e+00°)
1.93642196394658e+01	(-2.94933439665741e+01dB,2.08625121766821e+00°)
1.94088587759275e+01	(-2.94933173978186e+01dB,2.09105625828957e+00°)
1.94536008162263e+01	(-2.94932907065936e+01dB,2.09587234614137e+00°)
1.94984459975802e+01	(-2.94932638923363e+01dB,2.10069950648593e+00°)
1.95433945577536e+01	(-2.94932369544738e+01dB,2.10553776464070e+00°)
1.95884467350596e+01	(-2.94932098924407e+01dB,2.11038714598246e+00°)
1.96336027683602e+01	(-2.94931827056563e+01dB,2.11524767594196e+00°)
1.96788628970681e+01	(-2.94931553935658e+01dB,2.12011938001409e+00°)
1.97242273611482e+01	(-2.94931279555801e+01dB,2.12500228374338e+00°)
1.97696964011183e+01	(-2.94931003911164e+01dB,2.12989641273389e+00°)
1.98152702580507e+01	(-2.94930726995976e+01dB,2.13480179264933e+00°)
1.98609491735734e+01	(-2.94930448804381e+01dB,2.13971844920968e+00°)
1.99067333898715e+01	(-2.94930169330527e+01dB,2.14464640819342e+00°)
1.99526231496885e+01	(-2.94929888568491e+01dB,2.14958569543593e+00°)
1.99986186963271e+01	(-2.94929606512354e+01dB,2.15453633683131e+00°)
2.00447202736513e+01	(-2.94929323156122e+01dB,2.15949835833078e+00°)
2.00909281260870e+01	(-2.94929038493879e+01dB,2.16447178594633e+00°)
2.01372424986236e+01	(-2.94928752519549e+01dB,2.16945664574515e+00°)
2.01836636368153e+01	(-2.94928465227103e+01dB,2.17445296385482e+00°)
2.02301917867824e+01	(-2.94928176610495e+01dB,2.17946076646181e+00°)
2.02768271952125e+01	(-2.94927886663641e+01dB,2.18448007981119e+00°)
2.03235701093619e+01	(-2.94927595380397e+01dB,2.18951093020608e+00°)
2.03704207770568e+01	(-2.94927302754592e+01dB,2.19455334400873e+00°)
2.04173794466950e+01	(-2.94927008780073e+01dB,2.19960734764160e+00°)
2.04644463672464e+01	(-2.94926713450697e+01dB,2.20467296758754e+00°)
2.05116217882553e+01	(-2.94926416760122e+01dB,2.20975023038447e+00°)
2.05589059598411e+01	(-2.94926118702122e+01dB,2.21483916263341e+00°)
2.06062991326997e+01	(-2.94925819270383e+01dB,2.21993979099369e+00°)
2.06538015581049e+01	(-2.94925518458637e+01dB,2.22505214218623e+00°)
2.07014134879101e+01	(-2.94925216260540e+01dB,2.23017624299074e+00°)
2.07491351745487e+01	(-2.94924912669594e+01dB,2.23531212024369e+00°)
2.07969668710366e+01	(-2.94924607679512e+01dB,2.24045980084800e+00°)
2.08449088309725e+01	(-2.94924301283907e+01dB,2.24561931176500e+00°)
2.08929613085400e+01	(-2.94923993476092e+01dB,2.25079068000948e+00°)
2.09411245585086e+01	(-2.94923684249764e+01dB,2.25597393266747e+00°)
2.09893988362349e+01	(-2.94923373598303e+01dB,2.26116909687828e+00°)
2.10377843976644e+01	(-2.94923061515133e+01dB,2.26637619984389e+00°)
2.10862814993325e+01	(-2.94922747993777e+01dB,2.27159526883060e+00°)
2.11348903983661e+01	(-2.94922433027566e+01dB,2.27682633116161e+00°)
2.11836113524847e+01	(-2.94922116609835e+01dB,2.28206941422212e+00°)
2.12324446200018e+01	(-2.94921798733899e+01dB,2.28732454545900e+00°)
2.12813904598267e+01	(-2.94921479393002e+01dB,2.29259175237944e+00°)
2.13304491314654e+01	(-2.94921158580497e+01dB,2.29787106255598e+00°)
2.13796208950219e+01	(-2.94920836289567e+01dB,2.30316250361911e+00°)
2.14289060112002e+01	(-2.94920512513461e+01dB,2.30846610326378e+00°)
2.14783047413050e+01	(-2.94920187245242e+01dB,2.31378188924279e+00°)
2.15278173472433e+01	(-2.94919860478127e+01dB,2.31910988937594e+00°)
2.15774440915263e+01	(-2.94919532205198e+01dB,2.32445013154255e+00°)
2.16271852372698e+01	(-2.94919202419539e+01dB,2.32980264368518e+00°)
2.16770410481966e+01	(-2.94918871114216e+01dB,2.33516745380920e+00°)
2.17270117886371e+01	(-2.94918538282144e+01dB,2.34054458997948e+00°)
2.17770977235312e+01	(-2.94918203916354e+01dB,2.34593408032758e+00°)
2.18272991184296e+01	(-2.94917868009800e+01dB,2.35133595304673e+00°)
2.18776162394951e+01	(-2.94917530555432e+01dB,2.35675023639396e+00°)
2.19280493535041e+01	(-2.94917191546026e+01dB,2.36217695868561e+00°)
2.19785987278478e+01	(-2.94916850974525e+01dB,2.36761614830668e+00°)
2.20292646305342e+01	(-2.94916508833722e+01dB,2.37306783370248e+00°)
2.20800473301886e+01	(-2.94916165116352e+01dB,2.37853204338109e+00°)
2.21309470960560e+01	(-2.94915819815117e+01dB,2.38400880591432e+00°)
2.21819641980018e+01	(-2.94915472922928e+01dB,2.38949814994435e+00°)
2.22330989065136e+01	(-2.94915124432375e+01dB,2.39500010416952e+00°)
2.22843514927026e+01	(-2.94914774335989e+01dB,2.40051469735145e+00°)
2.23357222283049e+01	(-2.94914422626507e+01dB,2.40604195832262e+00°)
2.23872113856830e+01	(-2.94914069296464e+01dB,2.41158191597516e+00°)
2.24388192378272e+01	(-2.94913714338416e+01dB,2.41713459926726e+00°)
2.24905460583574e+01	(-2.94913357744885e+01dB,2.42270003722167e+00°)
2.25423921215239e+01	(-2.94912999508318e+01dB,2.42827825892476e+00°)
2.25943577022094e+01	(-2.94912639621253e+01dB,2.43386929353131e+00°)
2.26464430759302e+01	(-2.94912278075953e+01dB,2.43947317025435e+00°)
2.26986485188378e+01	(-2.94911914864903e+01dB,2.44508991837924e+00°)
